#{"t_start": 1659367520.2245996, "env_id": null}
r,l,t
1212.300369,1,2.575733
1213.959947,1,5.213692
1184.109237,1,7.760614
1219.106472,1,10.266473
1197.849302,1,12.895827
1125.79557,1,15.146459
1212.768255,1,17.6366
1239.470017,1,20.160259
1184.26924,1,22.566468
1218.803059,1,25.050892
1179.143659,1,27.343508
1178.343656,1,29.764133
1173.99762,1,32.230226
1187.022542,1,34.737901
1131.35376,1,37.050182
1178.229188,1,39.41448
1191.336664,1,41.820256
1168.390327,1,44.284992
1227.904647,1,46.671772
1223.33148,1,48.999083
1382.036987,1,52.224404
1248.158994,1,54.727112
1187.630503,1,57.181615
1283.603199,1,59.726653
1212.525225,1,62.171175
1155.75516,1,64.458044
1143.084822,1,66.802365
1137.307993,1,69.15847
1133.618559,1,71.508721
1194.554049,1,73.86389
1375.630017,1,76.859596
1182.404521,1,79.286161
1193.582701,1,81.644985
1267.185306,1,84.149237
1252.569449,1,86.646944
1401.772667,1,89.83726
1191.126979,1,92.170501
1157.685122,1,94.51916
1186.619226,1,97.048595
1221.042128,1,99.443771
1234.803102,1,101.884336
1223.470466,1,104.264573
1243.495585,1,106.776658
1250.430434,1,109.267329
1198.0364,1,111.759228
1194.905065,1,114.196702
1223.834343,1,116.608289
1243.022497,1,119.138972
1130.264474,1,121.424731
1262.467774,1,124.095559
1228.783671,1,126.430103
1201.957668,1,128.858236
1200.480883,1,131.344571
1194.64336,1,133.768786
1136.052894,1,136.120434
1217.086158,1,138.500324
1290.772702,1,141.025923
1145.679012,1,143.38149
1194.720114,1,145.795377
1166.360249,1,148.172753
1206.822701,1,150.800125
1162.841161,1,153.170369
1154.012323,1,155.571061
1193.716168,1,157.968285
1140.376415,1,160.287874
1175.765995,1,162.518718
1234.815564,1,165.004878
1240.373535,1,167.535538
1313.313448,1,169.987378
1204.284201,1,172.233492
1182.432363,1,174.579459
1159.939487,1,177.028704
1206.462137,1,179.571631
1247.14847,1,182.054644
1180.537897,1,184.463217
1300.777887,1,187.104467
1225.539923,1,189.591727
1211.76283,1,192.171767
1161.85184,1,194.6833
1193.737952,1,196.975929
1188.321693,1,199.467957
1162.186579,1,201.939369
1156.824063,1,204.307985
1127.605498,1,206.587371
1167.610433,1,208.965889
1191.24754,1,211.388824
1259.101091,1,214.037872
1252.131731,1,216.69057
1184.847961,1,219.134161
1187.343007,1,221.540161
1318.640374,1,224.395586
1181.864214,1,226.693267
1206.232034,1,229.077397
1185.189853,1,231.535797
1192.091281,1,234.022561
1180.3563,1,236.390676
1222.980699,1,238.871722
1165.585349,1,241.332922
1142.356215,1,243.664112
1184.930581,1,245.963938
1190.836551,1,248.355746
1165.357693,1,250.684953
1323.227395,1,253.065527
1180.491349,1,255.469934
1177.213511,1,257.851355
1249.601054,1,260.357139
1463.9796,1,263.810171
1235.313456,1,266.286249
1261.633219,1,268.695826
1274.97684,1,271.403454
1219.701214,1,273.787202
1197.951458,1,276.264356
1277.459996,1,278.838665
1184.974844,1,281.239973
1192.721842,1,283.642491
1247.179344,1,286.158635
1101.299496,1,288.459918
1219.411144,1,290.845166
1240.490041,1,293.475984
1228.976504,1,295.991071
1220.674336,1,298.460183
1180.235212,1,300.930332
1238.935174,1,303.529662
1267.316328,1,306.121363
1178.728126,1,308.574877
1187.238262,1,310.985432
1201.044013,1,313.384681
1210.589567,1,315.79616
1200.486566,1,318.238998
1422.236613,1,321.374456
1383.182417,1,324.309721
1269.060687,1,326.898155
1179.346049,1,329.445661
1191.012214,1,332.072533
1213.443324,1,334.787059
1186.906028,1,337.260478
1205.899535,1,339.58943
1449.238981,1,343.836093
1237.643886,1,346.344212
1298.670999,1,348.981766
1247.185758,1,351.629227
1291.838239,1,354.45075
1236.127359,1,357.048542
1143.875297,1,359.515956
1240.242261,1,362.028507
