#{"t_start": 1661337327.4068987, "env_id": null}
r,l,t
40000,1,25.668978
40000,1,54.180036
40000,1,80.468005
40000,1,119.20825
40000,1,155.453738
40000,1,176.62495
40000,1,205.988601
40000,1,243.306947
40000,1,279.963272
40000,1,306.328197
40000,1,328.925459
40000,1,351.148182
40000,1,403.735318
40000,1,434.389851
40000,1,461.079034
40000,1,490.219245
40000,1,519.449246
40000,1,550.210623
40000,1,583.740254
40000,1,596.827074
40000,1,629.045028
40000,1,659.146719
40000,1,688.102342
40000,1,711.92689
40000,1,738.625458
40000,1,766.728502
40000,1,777.9273
40000,1,816.881284
40000,1,836.491987
40000,1,869.769792
40000,1,896.004022
40000,1,916.060281
40000,1,941.391808
40000,1,967.840665
40000,1,999.147935
40000,1,1022.884436
40000,1,1054.388657
40000,1,1070.040874
40000,1,1109.787644
3030.793484,1,1142.096478
40000,1,1167.055848
40000,1,1181.612307
40000,1,1218.898768
40000,1,1251.817303
40000,1,1281.384113
40000,1,1302.805753
40000,1,1332.50008
40000,1,1364.593864
40000,1,1399.268802
40000,1,1429.010364
40000,1,1457.051152
40000,1,1472.257261
40000,1,1496.119748
40000,1,1524.896609
40000,1,1561.82417
40000,1,1596.337906
40000,1,1625.358279
3040.245826,1,1664.071637
40000,1,1684.373243
40000,1,1713.213034
40000,1,1742.030469
40000,1,1769.268902
40000,1,1795.571323
40000,1,1828.696302
40000,1,1842.553001
40000,1,1883.326622
40000,1,1914.863388
40000,1,1945.738004
40000,1,1965.296861
40000,1,1990.266193
40000,1,2028.49953
40000,1,2058.138666
40000,1,2076.448661
40000,1,2099.234496
40000,1,2140.21832
40000,1,2169.047847
40000,1,2199.138301
40000,1,2228.347148
40000,1,2252.566912
40000,1,2287.156299
40000,1,2312.667843
40000,1,2338.480176
40000,1,2365.031733
2968.322022,1,2403.30869
40000,1,2429.794685
40000,1,2454.101952
40000,1,2483.205378
40000,1,2509.523144
40000,1,2532.056556
40000,1,2551.178677
40000,1,2583.657867
40000,1,2609.984032
40000,1,2645.534974
40000,1,2666.708376
40000,1,2691.590547
40000,1,2714.114472
40000,1,2757.19898
40000,1,2784.390069
40000,1,2817.709253
40000,1,2845.786069
40000,1,2874.17604
40000,1,2903.733475
40000,1,2931.694806
40000,1,2958.273797
40000,1,2986.192946
40000,1,3000.308443
3000.638082,1,3047.795833
40000,1,3070.226505
40000,1,3092.048559
40000,1,3120.804203
40000,1,3147.256441
40000,1,3182.034164
40000,1,3205.2645
40000,1,3235.651493
40000,1,3271.297337
40000,1,3298.025932
40000,1,3328.454077
40000,1,3362.561278
40000,1,3387.224475
40000,1,3413.845212
40000,1,3433.396746
40000,1,3463.096994
40000,1,3485.008421
40000,1,3511.523587
40000,1,3530.928453
40000,1,3560.125913
40000,1,3591.766368
40000,1,3620.696177
40000,1,3650.800516
40000,1,3676.344441
40000,1,3699.257348
40000,1,3722.577753
40000,1,3739.119572
40000,1,3779.602652
40000,1,3805.838735
40000,1,3832.496685
40000,1,3860.791475
40000,1,3895.655614
40000,1,3919.031555
40000,1,3935.316116
40000,1,3960.755752
40000,1,3999.134124
40000,1,4023.274674
40000,1,4045.955195
40000,1,4078.71036
40000,1,4102.805658
40000,1,4135.056925
40000,1,4162.256397
40000,1,4184.596073
40000,1,4203.160213
40000,1,4218.655881
40000,1,4260.308746
40000,1,4300.199215
3074.862993,1,4342.385065
40000,1,4364.220113
40000,1,4382.659029
40000,1,4412.41515
40000,1,4444.274534
40000,1,4475.885328
40000,1,4502.455937
40000,1,4521.808482
40000,1,4550.170146
40000,1,4579.548823
40000,1,4603.149377
40000,1,4632.945572
40000,1,4669.341337
2999.007679,1,4704.815766
40000,1,4717.966475
40000,1,4742.833996
40000,1,4778.211025
40000,1,4804.24271
40000,1,4839.264291
40000,1,4854.44219
40000,1,4884.973568
40000,1,4913.959662
40000,1,4946.468629
40000,1,4972.258128
40000,1,4992.347622
40000,1,5029.679544
40000,1,5064.244826
40000,1,5087.771647
40000,1,5119.199528
40000,1,5142.153511
40000,1,5173.229961
40000,1,5198.885096
40000,1,5228.645775
40000,1,5251.01707
40000,1,5282.662446
40000,1,5313.29596
40000,1,5334.781961
40000,1,5370.432591
40000,1,5389.648373
40000,1,5424.25431
2988.719733,1,5456.75877
2965.413915,1,5483.904726
40000,1,5500.879068
2956.054195,1,5538.659299
40000,1,5560.393139
40000,1,5585.41531
40000,1,5614.355632
40000,1,5635.244664
40000,1,5668.710553
40000,1,5689.974453
40000,1,5714.835937
40000,1,5742.854393
40000,1,5765.096085
40000,1,5799.488603
40000,1,5829.888092
40000,1,5861.19436
40000,1,5884.601231
40000,1,5911.274351
40000,1,5942.096004
40000,1,5975.676111
40000,1,6001.450935
40000,1,6029.039939
40000,1,6054.610836
40000,1,6084.364669
40000,1,6121.01336
2958.212536,1,6161.607855
40000,1,6173.084826
40000,1,6207.950526
40000,1,6239.108329
40000,1,6264.381239
40000,1,6295.364376
40000,1,6319.283697
40000,1,6337.974888
40000,1,6364.568089
40000,1,6391.313134
40000,1,6417.048117
40000,1,6446.119295
40000,1,6476.36082
40000,1,6499.495727
40000,1,6521.65259
40000,1,6543.578677
40000,1,6578.880817
40000,1,6603.667295
40000,1,6625.856711
40000,1,6641.131338
40000,1,6672.576151
40000,1,6699.471215
40000,1,6729.133349
40000,1,6763.477612
40000,1,6783.339432
40000,1,6831.338583
40000,1,6860.458247
40000,1,6883.800317
40000,1,6914.021015
40000,1,6937.07505
40000,1,6959.240785
2977.298562,1,6998.170136
