#{"t_start": 1668588868.6415267, "env_id": null}
r,l,t
1181.337441,1,4.267009
1168.786689,1,9.130454
1133.160224,1,14.009545
1181.334644,1,19.674249
1158.692103,1,26.530425
1154.171858,1,32.112411
1207.2912,1,37.435171
1146.249383,1,41.745221
1154.912283,1,46.448506
1193.075895,1,53.931436
1201.293904,1,59.04145
1155.075599,1,64.495704
1179.42941,1,69.477025
1129.299402,1,74.688031
1175.193228,1,79.26766
1175.178054,1,83.357758
1216.741077,1,90.687021
1154.230372,1,94.230221
1218.385301,1,102.142379
1195.010032,1,107.903508
1208.244021,1,111.744488
1172.374886,1,117.421603
1196.266261,1,121.593018
1194.498818,1,127.941874
1195.374282,1,132.802708
1190.356121,1,139.745353
1176.223626,1,143.413414
1274.173449,1,149.615742
1184.339596,1,154.624268
1194.585089,1,162.624083
1205.029731,1,166.963126
1267.541583,1,172.875872
1197.549947,1,178.557812
1218.167978,1,181.89108
1161.622733,1,187.368085
1189.78686,1,192.581638
1149.078008,1,197.015232
1134.415574,1,203.029673
1198.378832,1,209.72016
1166.542143,1,212.856122
1222.567758,1,219.708179
1142.702379,1,224.76161
1173.644828,1,229.327483
1213.106978,1,233.49613
1218.24272,1,240.939941
1190.192543,1,245.045713
1255.210824,1,249.749948
1153.861696,1,254.78941
1204.02123,1,261.063431
1204.99754,1,266.019598
1162.760941,1,270.966847
1243.454854,1,276.08271
1198.386995,1,279.309354
1185.255749,1,283.824778
1210.237228,1,291.070629
1186.732226,1,296.209701
1176.582696,1,308.890344
1189.209675,1,314.306034
1164.620713,1,319.847593
1216.827186,1,324.492864
1178.516326,1,327.998316
1238.672996,1,335.12621
1209.876985,1,340.281606
1189.822897,1,344.263031
1179.013141,1,349.784889
1165.952898,1,355.165972
1209.711302,1,361.487019
1184.300244,1,366.926814
1217.211288,1,371.705882
1175.701112,1,378.305243
1188.447888,1,383.453296
1224.166011,1,388.78265
1196.36273,1,394.721538
1183.617728,1,399.407017
1188.846459,1,405.375729
1140.06113,1,411.778042
1234.971233,1,416.985423
1214.623063,1,421.741429
1201.885578,1,429.223788
1170.741368,1,433.730066
1173.264533,1,439.38432
1228.079371,1,446.717001
1168.60668,1,450.017401
1185.947786,1,455.849564
1147.711464,1,461.109384
1148.175602,1,467.097588
1173.738732,1,471.266517
1193.760395,1,477.746007
1172.320136,1,481.681372
1197.961943,1,487.650065
1185.198411,1,496.022496
1170.286068,1,499.425344
1136.793913,1,503.720135
1215.542308,1,509.663449
1202.66438,1,517.103077
1173.802189,1,522.315784
1316.045193,1,527.831169
1167.27515,1,531.441391
1162.12894,1,537.970783
1189.692368,1,543.796318
1260.646794,1,548.609728
1199.946657,1,564.062081
1231.998034,1,568.596714
1187.527821,1,574.999231
1221.008105,1,581.993488
1249.935578,1,586.970455
1182.35849,1,591.183119
1170.05333,1,597.171845
1207.277934,1,604.490351
1184.488476,1,610.188835
1217.345539,1,616.345509
1204.355838,1,620.836436
1216.060716,1,626.810418
1223.539999,1,631.298144
1163.429442,1,639.368604
1201.446144,1,643.247587
1186.780352,1,648.826079
1188.009006,1,655.113995
1191.380775,1,661.429823
1263.189618,1,669.798925
1209.360216,1,676.334246
1225.099756,1,682.211901
1221.374125,1,689.044587
1232.772037,1,694.698252
1263.278134,1,701.845259
1276.277888,1,707.117217
1245.673418,1,714.49224
1147.818591,1,717.307175
1232.033643,1,725.138279
1231.317458,1,730.641689
1253.474652,1,737.062059
1239.57317,1,741.591134
1201.447473,1,748.996039
1235.98602,1,756.355244
1208.689906,1,760.586589
1216.052139,1,769.73147
1228.992169,1,782.654227
1197.983237,1,790.614122
1150.918871,1,794.08361
1209.593583,1,803.11296
1229.443827,1,811.587815
1245.583269,1,817.591701
1206.688431,1,824.2908
1263.485723,1,831.803377
1191.12142,1,836.244732
1340.70447,1,847.233398
1274.131793,1,852.620951
1136.012073,1,862.510729
1260.384422,1,868.545673
1226.639234,1,878.209892
1255.244624,1,883.515285
1249.230036,1,889.419275
1213.910602,1,898.389454
1230.332373,1,902.805381
1248.678987,1,909.525474
1285.756215,1,918.880985
1258.411333,1,927.871164
1248.81539,1,934.620046
1260.222425,1,940.76596
1342.015717,1,949.587637
1260.038608,1,955.005676
1219.423511,1,970.170496
1261.995483,1,979.569788
1280.916769,1,988.682669
1137.560039,1,994.777713
1306.363338,1,1004.648904
1155.984959,1,1012.006328
1267.63687,1,1024.49708
1290.725096,1,1032.456402
1421.76389,1,1047.249462
1446.94578,1,1061.005982
1263.705156,1,1067.376154
1229.585193,1,1074.305819
1436.330815,1,1088.873769
1164.493254,1,1101.074088
1302.057608,1,1118.003917
1208.978102,1,1125.743621
1760.428223,1,1141.542414
1287.723528,1,1146.941386
1858.655769,1,1164.506139
1370.946934,1,1178.370832
1131.181998,1,1184.943435
1413.731281,1,1203.260794
1300.149625,1,1212.480367
1286.317708,1,1229.535361
1520.184473,1,1250.422507
1178.548538,1,1263.373071
1228.362366,1,1279.198651
1413.304361,1,1293.275646
40000,1,1309.485941
2309.309812,1,1334.908206
2098.067876,1,1353.783603
2079.793934,1,1373.815939
1228.998161,1,1379.635713
2024.216404,1,1401.431767
1420.992197,1,1414.546215
1286.410364,1,1426.238601
1704.870219,1,1453.294314
2217.379861,1,1480.197631
1262.71134,1,1487.287001
1656.126857,1,1510.949996
1551.141964,1,1530.706974
1347.263211,1,1540.532164
1156.617212,1,1560.326727
2615.405317,1,1593.506717
1353.183062,1,1600.571194
1655.945944,1,1631.199804
1355.314738,1,1656.245845
1667.641659,1,1681.63244
2173.837526,1,1714.914075
1228.396829,1,1723.105081
1819.95538,1,1752.926528
2457.02236,1,1794.516127
1666.274366,1,1817.044162
2502.557761,1,1845.079621
2075.166074,1,1870.742095
2194.330085,1,1907.636764
2701.396126,1,1947.469099
2712.995271,1,1970.060075
1418.102533,1,1982.285411
1877.704933,1,2010.315373
2279.094632,1,2043.461729
2029.682473,1,2077.177826
2068.941764,1,2107.373986
2159.075864,1,2133.290767
1953.372329,1,2162.893488
2522.766617,1,2189.169441
2201.696467,1,2217.521481
2702.325604,1,2256.946144
2472.575698,1,2287.984617
2521.515339,1,2315.309375
2298.887923,1,2351.861959
1348.898167,1,2359.99382
1520.857645,1,2396.857838
2442.46922,1,2444.852935
1555.513822,1,2468.899046
2550.320919,1,2504.108593
1656.316445,1,2532.94102
1978.883947,1,2573.326683
1677.991077,1,2604.940063
2720.569013,1,2651.517679
2633.064237,1,2684.832887
2750.047701,1,2720.965905
2515.439027,1,2749.040416
2759.022576,1,2786.692151
2713.594971,1,2820.735364
1555.020467,1,2834.430992
2742.525918,1,2891.538865
1332.226782,1,2910.143748
2750.496218,1,2945.619895
1856.288127,1,2977.66758
2909.392192,1,3031.841616
2516.123325,1,3066.499891
2447.041088,1,3106.852222
2620.853439,1,3144.738499
1962.247797,1,3169.652548
2638.463625,1,3218.537408
2690.705362,1,3252.595399
2424.596548,1,3284.114495
2364.983416,1,3322.833344
1923.204569,1,3349.869483
1521.584121,1,3374.37468
2389.357049,1,3431.10783
1990.73936,1,3464.13279
2670.898297,1,3504.015578
2186.533777,1,3525.506216
2672.614861,1,3575.232739
2639.631902,1,3614.792807
2835.293593,1,3653.224149
1698.162447,1,3671.130002
2846.852686,1,3724.693772
2794.874984,1,3764.84072
2780.607964,1,3799.054889
2622.806695,1,3835.981347
2805.975165,1,3868.904298
1679.699364,1,3897.01563
2511.779376,1,3948.723418
2516.273455,1,3987.375487
1272.19296,1,3999.024741
40000,1,4062.004282
2826.449712,1,4101.524727
2766.731738,1,4144.980648
2631.425124,1,4184.810472
2726.368045,1,4224.607202
2675.220902,1,4259.310879
2768.277245,1,4294.152178
2761.708254,1,4333.975494
2815.276128,1,4372.36488
2650.296303,1,4407.401482
1944.429531,1,4431.522498
2718.53373,1,4487.615499
2850.837399,1,4530.042714
2820.500779,1,4560.196148
1514.524866,1,4573.758267
2819.05698,1,4642.715937
2590.355976,1,4677.900199
2586.870511,1,4725.130777
2807.888997,1,4758.614444
2290.866364,1,4794.014415
2860.704544,1,4830.493138
40000,1,4861.305229
2807.384593,1,4906.911518
2828.993611,1,4945.667645
2787.265847,1,4984.195895
2810.480687,1,5019.823861
2557.292763,1,5051.770369
2871.589546,1,5096.954262
2846.739084,1,5135.135811
2716.679823,1,5172.201841
2790.983243,1,5215.778744
2801.330827,1,5257.137244
40000,1,5297.703847
2761.817377,1,5337.501751
1989.132461,1,5357.809641
2692.042629,1,5404.748585
2834.477871,1,5459.755468
2846.57525,1,5494.512458
2733.329293,1,5536.916466
2531.148391,1,5576.419788
2796.401886,1,5611.641142
2627.78323,1,5657.400047
2764.196329,1,5689.878283
2780.622143,1,5736.38962
2792.155238,1,5776.92798
2866.124097,1,5817.90206
2685.873903,1,5857.96493
2818.618316,1,5899.381062
2801.940537,1,5943.617404
40000,1,5972.434598
2817.058734,1,6018.026059
2719.246388,1,6054.967086
2769.136431,1,6096.980779
1241.882989,1,6103.065283
40000,1,6153.415748
2616.119272,1,6209.841226
2842.177619,1,6243.708976
2885.665379,1,6287.313722
2744.307823,1,6309.637472
2590.373631,1,6364.900602
2831.826898,1,6404.757841
2649.460526,1,6440.671236
2818.407877,1,6480.906632
2745.786976,1,6520.868507
2825.668139,1,6548.113543
2681.403313,1,6598.165078
40000,1,6628.420609
40000,1,6675.005073
40000,1,6696.177769
2837.194934,1,6756.298075
2727.791118,1,6792.18746
2892.975031,1,6828.994385
2802.899416,1,6867.032079
2892.34283,1,6911.113602
40000,1,6941.769258
2897.901367,1,6982.990892
2919.946111,1,7004.268554
2789.547741,1,7058.428797
2830.285911,1,7103.125244
40000,1,7143.359972
2828.351576,1,7185.960769
2802.735127,1,7220.816111
2592.996934,1,7259.949037
40000,1,7284.10058
2820.131871,1,7330.453217
2794.497999,1,7369.788372
40000,1,7398.892905
2765.872613,1,7442.829193
2752.647673,1,7479.228103
2637.270171,1,7519.101656
2833.978975,1,7561.100728
2813.687889,1,7598.183034
2918.555175,1,7637.338486
2800.852633,1,7672.541032
2748.838842,1,7710.869835
2822.803483,1,7748.149025
2817.41597,1,7783.988174
2778.595549,1,7825.142683
2661.981957,1,7861.593245
40000,1,7878.18444
40000,1,7924.634453
2801.346892,1,7982.245211
2767.25298,1,8010.81407
40000,1,8039.774155
40000,1,8076.405237
2626.113477,1,8125.544693
2854.189163,1,8162.237361
2584.99825,1,8194.773515
2763.960957,1,8241.607906
1550.575751,1,8252.89274
2753.986484,1,8310.502702
