#{"t_start": 1678120825.9526489, "env_id": null}
r,l,t
40000,1,7.27137
40000,1,29.792948
40000,1,48.888983
3034.62221,1,78.238909
40000,1,87.678883
3007.105441,1,122.51236
40000,1,130.874082
2963.360186,1,169.261188
40000,1,179.066023
40000,1,198.26398
40000,1,214.918663
40000,1,234.846337
3006.77189,1,270.446982
2977.598174,1,297.61572
40000,1,305.151806
40000,1,314.843155
2979.049251,1,346.442452
3027.191302,1,364.912802
40000,1,374.848791
2992.063837,1,403.741242
40000,1,410.102881
40000,1,441.223819
40000,1,457.538959
40000,1,482.976666
2985.85315,1,515.158696
40000,1,524.809183
40000,1,545.146139
40000,1,574.655205
40000,1,594.952146
40000,1,621.998916
40000,1,635.305767
40000,1,655.160987
40000,1,664.30555
2971.105266,1,698.085041
40000,1,706.627135
3002.964275,1,734.343436
40000,1,741.219874
40000,1,760.628105
1400.619917,1,776.717104
2986.805864,1,801.611371
2960.13112,1,825.573373
2984.476311,1,848.133296
40000,1,854.017514
40000,1,869.550624
2971.196204,1,903.801318
40000,1,912.887608
40000,1,937.644662
40000,1,958.467054
2977.314783,1,989.091933
40000,1,997.112091
40000,1,1017.491958
40000,1,1032.726302
2997.509161,1,1059.21664
2230.417456,1,1080.552081
40000,1,1087.553139
40000,1,1109.000653
1269.808565,1,1127.061058
40000,1,1149.248271
40000,1,1168.572819
40000,1,1186.283229
2469.577034,1,1204.489934
2931.82321,1,1225.955729
40000,1,1243.014729
40000,1,1262.337751
40000,1,1280.464413
40000,1,1296.663543
40000,1,1313.622305
40000,1,1328.150744
40000,1,1345.78688
40000,1,1364.599914
40000,1,1381.458315
40000,1,1412.650492
40000,1,1426.064033
1943.726858,1,1451.259591
40000,1,1470.32589
2975.780198,1,1510.730358
40000,1,1516.747647
2960.970861,1,1552.45716
40000,1,1561.235002
40000,1,1588.322214
40000,1,1601.444753
40000,1,1618.888982
2208.165664,1,1660.454668
40000,1,1670.622588
2984.187514,1,1707.588135
3019.862089,1,1723.973067
