#{"t_start": 1678204709.6894145, "env_id": null}
r,l,t
1305.625628,1,2.411714
1387.047576,1,5.468659
1546.917243,1,8.411777
1236.089899,1,10.699996
1283.854108,1,13.08065
1342.686423,1,16.005514
1257.637149,1,18.437284
1219.627716,1,20.672955
1272.212933,1,22.971884
1250.414697,1,25.279909
1352.08506,1,27.928149
1243.634875,1,30.213682
1238.644545,1,32.537553
1171.888911,1,34.639241
1235.030878,1,36.874316
1228.854109,1,39.174844
1226.470358,1,41.438238
1335.468358,1,43.885164
1271.8943,1,46.30844
1248.108558,1,48.691452
1315.368099,1,51.115016
1343.149536,1,53.907491
1243.936356,1,56.134119
1289.682271,1,58.600562
1363.723222,1,61.204369
2017.802919,1,67.709131
1283.446355,1,70.272818
1307.732587,1,72.719143
1215.412888,1,74.970304
1268.225654,1,77.373473
1273.151015,1,79.763332
1287.648574,1,82.219018
1224.445705,1,84.522115
1234.253646,1,86.75758
1292.91796,1,89.153857
1213.974322,1,91.311013
1269.51909,1,93.542642
1215.787147,1,95.693961
1202.073166,1,97.814469
1250.905316,1,100.171582
1225.926055,1,102.399421
1206.274197,1,104.631566
1265.548659,1,106.918976
1276.764126,1,109.587507
1292.534576,1,112.033042
1459.051149,1,114.926489
1207.906967,1,117.169978
1208.58967,1,119.506698
1226.209066,1,121.635097
1340.318231,1,124.490952
1496.79503,1,127.678238
1333.585782,1,130.189198
1257.779895,1,132.498814
1224.946671,1,134.717915
1261.305438,1,136.970085
1198.74958,1,139.130012
1291.298001,1,141.603617
1324.852094,1,144.074919
1352.992565,1,147.004367
1325.368157,1,149.669597
1227.289151,1,151.85623
1245.043487,1,154.214993
1190.831057,1,156.349724
1357.135358,1,158.797847
1250.0801,1,161.047687
1253.662834,1,163.385161
1256.645421,1,165.595134
1254.047318,1,167.815742
1312.925795,1,170.37261
1332.19344,1,172.860539
1252.351585,1,175.182711
1235.944602,1,177.646901
1274.678009,1,179.925446
1246.582934,1,182.214291
1246.363114,1,184.595763
1266.642786,1,186.947209
1249.432986,1,189.367168
1294.709009,1,192.009975
1243.96872,1,194.283575
1350.129377,1,197.076818
1241.109759,1,199.509773
1233.726508,1,201.915117
1243.247146,1,204.370299
1226.405407,1,206.700809
1239.177926,1,208.938659
1385.679205,1,211.674197
1346.843116,1,214.300614
1385.466083,1,217.39563
1265.794196,1,219.836064
1275.485104,1,222.412017
1242.252987,1,224.662844
1244.985183,1,227.056159
1239.708082,1,229.385676
1311.286609,1,231.773679
1355.576059,1,234.606531
1251.309227,1,236.939919
1374.074473,1,239.687544
1247.625507,1,241.897712
1308.874077,1,244.50729
1395.256768,1,247.6884
1436.197138,1,250.800909
1282.904547,1,253.238079
1244.126532,1,255.589722
1227.664098,1,257.827961
1184.130047,1,260.036246
1595.70959,1,263.671121
1238.313988,1,266.006888
1253.905761,1,268.436406
1257.765697,1,270.955638
1507.036669,1,274.897019
1262.622134,1,277.251524
1230.253488,1,279.518151
1271.301037,1,281.858263
1251.454034,1,284.150529
1277.735032,1,286.555567
1304.005895,1,289.335809
1381.431669,1,292.238071
1291.832674,1,294.690909
1248.707789,1,297.276903
1232.847496,1,299.522328
1223.428654,1,301.743129
1224.959477,1,303.972444
1235.38329,1,306.146588
1410.676336,1,309.169154
1259.737381,1,311.506196
1237.328957,1,313.70794
1406.040919,1,316.726655
1238.684179,1,319.139839
1251.14359,1,321.443729
1471.843625,1,324.52817
1254.720588,1,326.899985
1238.944956,1,329.230422
1201.260049,1,331.286333
1237.529083,1,333.629306
1221.943247,1,335.838246
1285.67826,1,338.076055
1321.86164,1,340.595347
1193.156648,1,342.779171
1258.021208,1,345.039572
1259.570455,1,347.58682
1266.526188,1,349.968087
1318.444192,1,352.511564
1259.417641,1,354.84365
1227.802788,1,357.10305
1299.942116,1,359.406141
1242.641252,1,361.840223
1373.460998,1,364.87856
1255.933253,1,367.147533
1224.609525,1,369.572744
1246.457027,1,371.99858
1261.315903,1,374.45961
1231.294997,1,376.770533
1232.667476,1,379.225483
1215.51103,1,381.53305
1241.990321,1,383.853086
1260.810203,1,386.318998
1360.016473,1,388.937236
1234.734827,1,391.170434
1352.011615,1,393.760151
1431.959239,1,396.798667
1244.184188,1,399.251561
1323.290519,1,401.960987
1293.46066,1,404.489599
1224.715874,1,406.654126
1262.791771,1,409.025023
1273.432481,1,411.35427
1254.036557,1,413.611369
1411.148839,1,416.709475
1219.821637,1,419.002613
1234.042854,1,421.301572
1212.628815,1,423.557028
1309.292847,1,426.32059
1348.851127,1,429.590177
1267.801968,1,431.938593
1306.43742,1,434.452787
1257.886249,1,436.903933
1228.719764,1,439.147965
