#{"t_start": 1659278129.7286735, "env_id": null}
r,l,t
1175.005065,1,2.425163
1143.979962,1,4.780838
1184.815705,1,7.051491
1185.485504,1,9.507772
1234.405558,1,12.139679
1224.157063,1,14.572127
1225.94831,1,17.074993
1176.47834,1,19.601717
1222.074268,1,22.16427
1190.513174,1,24.600381
1157.696538,1,26.890508
1236.474343,1,29.304554
1194.134404,1,31.779147
1453.266518,1,35.508608
1388.664271,1,38.605925
1179.09547,1,41.10555
1236.367646,1,43.777987
1163.745829,1,46.034843
1235.470933,1,48.455043
1178.41637,1,50.910414
1161.490699,1,53.237865
1196.971886,1,55.534895
1213.15827,1,58.034551
1231.322975,1,60.678676
1183.816783,1,63.28721
1173.342216,1,65.827246
1244.543576,1,68.312375
1246.701975,1,70.879793
1201.524338,1,73.242466
1221.514827,1,75.593182
1197.596468,1,77.993356
1174.319373,1,80.556266
1205.473799,1,83.073979
1186.85896,1,85.779679
1241.556632,1,88.325143
1273.702662,1,91.118131
1209.083272,1,93.577613
1203.960382,1,96.146745
1181.477434,1,98.661373
1169.014143,1,101.029509
1156.114595,1,103.544465
1227.095327,1,105.947948
1150.791807,1,108.33332
1142.917357,1,110.675399
1166.294158,1,112.994902
1239.565338,1,115.378837
1252.71292,1,117.93013
1223.466426,1,120.467884
1226.702235,1,122.883194
1282.473173,1,125.51459
1141.156071,1,127.867248
1341.658795,1,130.185654
1137.988192,1,132.511713
1182.065946,1,134.797388
1262.807602,1,137.185885
1230.4082,1,139.543706
1140.097799,1,141.881231
1204.162232,1,144.219875
1387.239358,1,147.000192
1244.672363,1,149.264668
1190.946745,1,151.617818
1264.794328,1,154.259957
1165.457715,1,156.542661
1147.996282,1,158.80136
1192.057468,1,161.050913
1146.493114,1,163.358036
1180.957448,1,165.60774
1186.935413,1,167.964411
1203.961332,1,170.311237
1174.870371,1,172.637692
1235.949915,1,175.315006
1124.579087,1,177.629255
1186.621311,1,180.063654
1219.040253,1,182.370859
1325.140149,1,184.665528
1199.108288,1,187.268031
1204.719313,1,189.828886
1251.934274,1,192.427414
1168.160301,1,194.747072
1282.300638,1,197.606611
1379.544563,1,201.002291
1211.423736,1,203.606036
1157.633391,1,205.897013
1158.649323,1,208.270684
1219.92414,1,210.661139
1210.951965,1,213.197867
1196.92501,1,215.752337
1401.741507,1,218.661427
1163.411625,1,221.122292
1176.57526,1,223.522414
1170.572848,1,225.989187
1190.332635,1,228.351416
1256.963212,1,231.053064
1198.4304,1,233.52348
1551.317298,1,237.333598
1185.190133,1,239.786724
1171.36168,1,242.170137
1201.142359,1,244.66679
1310.45491,1,247.523834
1139.311051,1,249.853878
1356.826445,1,252.621144
1160.678712,1,255.046223
1158.867478,1,257.362487
1254.964352,1,259.922379
1224.54951,1,262.471439
1215.778678,1,265.023513
1485.082793,1,269.041315
1212.495557,1,271.618749
1268.704765,1,274.226501
1221.217308,1,276.728665
1179.247831,1,279.001559
1261.189314,1,281.616323
1265.662783,1,284.124593
1218.031567,1,286.590784
1275.977076,1,289.111324
1174.553026,1,291.610128
1186.706087,1,294.112266
1188.513416,1,296.664278
1245.702091,1,299.202422
1224.940073,1,301.81174
1289.273228,1,304.524842
1233.462776,1,307.181783
1223.672217,1,309.738549
1181.192961,1,312.117571
1181.183308,1,314.700191
1158.383918,1,316.978679
1356.627076,1,319.578961
1191.275634,1,322.016214
1130.158812,1,324.364779
1146.397939,1,326.741307
1365.795458,1,330.058621
1113.168013,1,332.427644
1193.085741,1,334.843786
1147.369778,1,337.11319
1258.876268,1,339.823395
1291.552239,1,342.516446
1134.61266,1,344.812709
1210.101901,1,347.22451
1242.074459,1,349.722412
1157.262066,1,352.142153
1518.412474,1,355.790192
1380.991886,1,358.97843
1139.46837,1,361.44035
1155.573833,1,363.749261
1152.930988,1,366.050425
1150.396699,1,368.48058
1168.08606,1,370.841435
1197.874245,1,373.363683
1209.997338,1,375.892462
1176.062133,1,378.231778
1285.592552,1,380.776225
1488.257275,1,384.454899
1175.985846,1,386.810604
1169.512354,1,389.358249
1249.898535,1,391.98808
1243.225879,1,394.508172
1211.338464,1,397.062544
1218.912555,1,399.605477
1205.614658,1,402.136236
1276.022417,1,404.884794
1205.544671,1,407.412307
1112.45243,1,409.70059
1193.020897,1,412.250045
1250.036796,1,414.940314
1209.235349,1,417.564734
1237.535795,1,420.111434
1358.420155,1,422.712134
1212.963241,1,425.265854
1151.675321,1,427.544339
1180.883242,1,430.004702
1182.510806,1,432.463908
1287.766687,1,435.418334
1238.632364,1,438.038749
1228.944892,1,440.72947
1187.750673,1,443.171493
1224.537783,1,445.594829
1190.271247,1,448.045519
1418.97292,1,451.386864
1209.334651,1,453.914136
1737.575179,1,457.978257
1296.569624,1,460.647348
1253.807522,1,463.144067
1294.001309,1,465.824672
1187.21999,1,468.299697
1248.807707,1,470.992927
1259.572713,1,473.573734
1212.23491,1,476.030943
1212.710798,1,478.573749
1365.307414,1,481.164099
1277.664857,1,484.16207
1204.022374,1,486.759881
1318.516594,1,489.542909
1188.092273,1,491.966675
1180.573566,1,494.294817
1192.586625,1,496.831001
1196.461604,1,499.25505
1209.173244,1,501.75711
1257.982738,1,504.370892
1200.955248,1,506.956659
1394.694969,1,509.914113
1126.998871,1,512.329449
1183.476684,1,514.770277
1190.409531,1,517.050878
1218.025365,1,519.486447
1228.119326,1,522.089594
1283.490398,1,524.550883
1149.088182,1,527.074179
1280.946224,1,529.571621
1212.423394,1,532.201655
1344.681798,1,535.194533
1202.871764,1,537.753146
1153.09882,1,540.19902
1420.547759,1,543.651937
1231.749057,1,546.117556
1231.051374,1,548.600477
1149.037135,1,550.988324
1193.541914,1,553.31517
1216.023398,1,555.757547
1156.655685,1,558.092536
1147.475367,1,560.576427
1198.473285,1,563.12436
1159.816936,1,565.585855
1235.518079,1,568.240516
1165.600535,1,570.548238
1225.944969,1,572.927547
1195.837571,1,575.330971
1223.09231,1,577.717249
1278.047022,1,580.519964
1159.804053,1,582.781426
1177.28473,1,585.206275
1184.675285,1,587.609114
1269.41729,1,590.08682
1191.736788,1,592.538995
1222.886242,1,595.049878
1240.58838,1,597.610496
1185.683406,1,599.956483
1114.809428,1,602.263181
1250.494592,1,604.675873
1245.411449,1,607.451939
1170.731486,1,609.812859
1280.334179,1,612.573723
1244.362206,1,614.996077
1172.759813,1,617.476208
1220.97194,1,620.066408
1413.761115,1,623.346817
1267.278947,1,625.749947
1181.949359,1,628.003669
1229.112668,1,630.497505
1245.797013,1,633.07494
1188.497713,1,635.681886
1296.313383,1,638.58817
1228.066702,1,641.117255
1222.521889,1,643.668724
1523.597555,1,647.132881
1255.567447,1,649.551817
1206.373916,1,651.982834
1227.66462,1,654.524536
1147.125101,1,656.875814
1269.731021,1,659.391554
1194.105843,1,661.842113
1235.190593,1,664.363225
1149.113306,1,666.70167
1150.032832,1,669.005475
1176.674157,1,671.420686
1176.621291,1,673.756089
1176.76768,1,676.139297
1224.311731,1,678.459041
1131.015193,1,680.673527
1171.905022,1,682.896616
1207.989171,1,685.298848
1484.092579,1,688.574125
1210.27696,1,690.849463
1267.980865,1,693.346146
1176.30935,1,695.717208
1263.373123,1,698.345519
1228.116357,1,700.794183
1151.597682,1,703.116722
1175.007601,1,705.514297
1228.712212,1,707.951721
1254.611169,1,710.385747
1153.796001,1,712.779357
1203.772718,1,715.143646
1158.021172,1,717.389309
1239.546797,1,719.805246
1261.83726,1,722.267751
1185.7579,1,724.632013
1193.319689,1,726.990349
1176.96464,1,729.355724
1216.141982,1,731.732417
1193.343201,1,734.093937
1254.377717,1,736.654975
1225.143769,1,739.115638
1201.238334,1,741.36496
1232.213209,1,743.709464
1323.035186,1,746.21906
1140.18247,1,748.412815
1181.42848,1,750.838247
1180.259742,1,753.21663
1264.157501,1,755.656364
1170.164166,1,758.010462
1244.468381,1,760.640778
1177.50409,1,763.03557
1288.990604,1,765.289377
1284.281514,1,767.72209
1210.642492,1,770.163526
1199.543668,1,772.597558
1208.30383,1,774.98209
1281.424469,1,777.462785
1191.538275,1,779.848684
1211.522684,1,782.196672
1194.006655,1,784.637501
1341.860079,1,787.00838
1151.818111,1,789.352767
1195.538807,1,791.672523
1294.004431,1,794.296661
1245.36393,1,796.753819
1161.353296,1,799.211589
1154.275214,1,801.589546
1442.093722,1,804.686068
1188.323387,1,807.016466
1286.21572,1,809.778225
1170.349834,1,812.103563
1256.742564,1,814.571329
1159.323933,1,816.889429
1164.735808,1,819.152964
1224.270657,1,821.537501
1340.774209,1,824.427351
1231.901104,1,826.810171
1182.510773,1,829.19604
1171.303054,1,831.620791
1131.679228,1,833.896565
1156.957478,1,836.213021
1258.057662,1,838.753549
1246.048033,1,841.294922
1146.38988,1,843.574506
1189.26303,1,845.995762
1198.449587,1,848.411581
1242.12055,1,850.735449
1181.883811,1,853.13411
1244.910472,1,855.673702
1258.255528,1,858.362332
1239.174067,1,860.901415
1311.366647,1,863.362351
1211.085753,1,865.712102
1333.914572,1,868.239752
1184.28859,1,870.605115
1195.235638,1,872.943668
1202.723558,1,875.419357
1217.560383,1,877.860464
1183.651565,1,880.293461
1207.620533,1,882.78085
1507.284428,1,886.058329
1198.140399,1,888.430476
1221.209983,1,890.633132
1160.813018,1,893.026945
1320.178651,1,895.554318
1170.852066,1,897.842444
1147.012132,1,900.128567
1229.075078,1,902.535618
1177.062634,1,904.847957
1161.658398,1,907.253448
1186.89475,1,909.549862
1189.798264,1,911.929341
1187.589633,1,914.352411
1289.083432,1,916.775537
1193.60735,1,919.260329
1281.536733,1,921.70799
1189.413319,1,924.066952
1146.003257,1,926.438904
1183.2067,1,928.763822
1205.831292,1,931.140149
1136.441461,1,933.349966
1245.307082,1,935.944226
1198.553952,1,938.417169
1203.337971,1,940.777627
1251.819018,1,943.24144
1208.019998,1,945.741939
1329.534224,1,948.290233
1127.787704,1,950.660936
1268.429564,1,953.404906
1122.687032,1,955.807976
1124.705362,1,958.134289
1169.878062,1,960.575484
1141.836966,1,962.979668
1319.920006,1,965.448173
1176.537702,1,967.881006
1206.616332,1,970.612246
1173.867863,1,973.039348
1212.162295,1,975.632797
1198.985033,1,978.491209
1217.58019,1,980.780079
1137.622708,1,983.210172
1145.809671,1,985.71092
1165.763262,1,988.159425
1173.213841,1,990.603464
1153.730857,1,992.868063
1226.820638,1,995.387474
1399.788755,1,998.667944
1156.88524,1,1001.150488
1191.548854,1,1003.612353
1213.372721,1,1006.029932
1227.91722,1,1008.658534
1235.878257,1,1011.194034
1134.603863,1,1013.527955
1373.275777,1,1016.788604
1265.053257,1,1019.367208
1108.323427,1,1021.655059
1391.647674,1,1025.180021
1148.209949,1,1027.543437
2106.969979,1,1034.286927
1164.347838,1,1036.69449
1215.72058,1,1039.221755
1168.839536,1,1041.721306
1183.793838,1,1044.171453
1278.575412,1,1046.820689
1184.394349,1,1049.481335
1325.614511,1,1052.165057
1129.792462,1,1054.585811
1275.952863,1,1057.083147
1205.06687,1,1059.448965
1271.62387,1,1062.004261
1133.285685,1,1064.284664
1286.797954,1,1066.625812
1135.617717,1,1069.002398
1180.932663,1,1071.516968
1217.974997,1,1073.844831
1170.971005,1,1076.211901
1205.59063,1,1078.555214
1276.377639,1,1081.098488
1215.972661,1,1083.466419
1193.182363,1,1085.905114
1209.906283,1,1088.389566
1217.209035,1,1090.788853
1220.480473,1,1093.192406
1192.656375,1,1095.585638
1217.840868,1,1097.898105
1281.40884,1,1100.501504
1241.202324,1,1103.075642
1242.713131,1,1105.598217
1237.477835,1,1108.033642
1187.259258,1,1110.507764
1189.265841,1,1112.74339
1180.023047,1,1115.078598
1119.000076,1,1117.340814
1230.799362,1,1119.861984
1181.604257,1,1122.2093
1218.145104,1,1124.521892
1201.602031,1,1126.939775
1212.987581,1,1129.371629
1133.514717,1,1131.664901
1212.069392,1,1134.085083
1237.181343,1,1136.54759
1195.647376,1,1138.85891
1341.391832,1,1141.666843
1136.107274,1,1143.952375
1286.119288,1,1146.697396
1179.990377,1,1149.010996
1169.929394,1,1151.405852
1216.582396,1,1153.81622
1188.771238,1,1156.177605
1182.000721,1,1158.597233
1200.993792,1,1160.973021
1212.607358,1,1163.396634
1201.463043,1,1165.861906
1197.177765,1,1168.261566
1192.640429,1,1170.709381
1147.989053,1,1173.167423
1159.377859,1,1175.506567
1197.688327,1,1177.943311
1172.921969,1,1180.255068
1238.77891,1,1182.791345
1366.118954,1,1185.264077
1216.65815,1,1187.654282
1427.495951,1,1190.755337
1251.608592,1,1193.178028
1220.682931,1,1195.579187
1425.464656,1,1198.283578
1361.705438,1,1201.274734
1148.552971,1,1203.548751
1163.678376,1,1205.913607
1221.327632,1,1208.448946
1264.581155,1,1210.741599
1257.71353,1,1213.183176
1249.947887,1,1215.561502
1229.502902,1,1218.101233
1112.344533,1,1220.370214
1195.517172,1,1222.743615
1240.982536,1,1225.250561
1140.134416,1,1227.667077
1151.096565,1,1229.928633
1554.544761,1,1233.402923
1196.223933,1,1235.834365
