#{"t_start": 1661337326.544828, "env_id": null}
r,l,t
40000,1,24.786322
40000,1,55.383415
40000,1,75.955811
40000,1,116.66505
40000,1,149.058814
40000,1,180.479694
40000,1,210.198182
40000,1,229.645858
40000,1,278.887686
3004.293674,1,313.966164
40000,1,332.611083
3047.983376,1,376.04855
40000,1,390.321614
40000,1,426.958484
40000,1,462.83668
40000,1,489.216666
40000,1,517.182376
40000,1,543.466491
40000,1,580.634859
40000,1,604.165392
40000,1,632.634993
40000,1,650.066628
40000,1,689.323667
40000,1,716.911534
40000,1,739.272799
40000,1,757.510783
40000,1,792.675925
40000,1,811.815625
40000,1,846.739724
40000,1,872.021767
40000,1,905.017951
40000,1,928.785553
40000,1,951.775591
40000,1,975.732269
40000,1,995.891372
40000,1,1025.88914
40000,1,1056.901987
40000,1,1073.989251
40000,1,1108.686191
40000,1,1135.766477
40000,1,1164.730311
40000,1,1194.348919
40000,1,1226.073442
40000,1,1250.953582
40000,1,1283.199349
40000,1,1312.837099
40000,1,1337.672128
40000,1,1357.075126
40000,1,1398.057541
40000,1,1433.655008
40000,1,1445.790675
40000,1,1474.154883
40000,1,1502.291254
40000,1,1531.895241
40000,1,1558.956643
40000,1,1589.106987
2950.777837,1,1633.810511
40000,1,1654.496197
40000,1,1675.2806
40000,1,1707.095736
40000,1,1748.896436
40000,1,1773.707379
40000,1,1798.539465
40000,1,1825.144882
40000,1,1850.983628
40000,1,1878.954094
40000,1,1921.213058
40000,1,1947.091089
40000,1,1970.090321
40000,1,1996.281556
40000,1,2023.716247
40000,1,2055.666423
40000,1,2080.40812
40000,1,2110.230594
40000,1,2141.711892
40000,1,2168.049357
40000,1,2206.248402
40000,1,2229.450764
40000,1,2263.104268
40000,1,2292.296371
40000,1,2310.043799
40000,1,2338.000046
40000,1,2370.034992
40000,1,2388.539542
40000,1,2422.089116
40000,1,2449.96475
40000,1,2475.636448
40000,1,2499.71628
40000,1,2537.840774
40000,1,2563.928939
40000,1,2584.145062
40000,1,2614.654217
40000,1,2640.331162
40000,1,2667.303673
40000,1,2688.39174
40000,1,2713.484267
2995.897671,1,2764.736146
40000,1,2784.502576
40000,1,2819.998949
40000,1,2851.692057
2958.072113,1,2883.104263
40000,1,2903.891195
40000,1,2922.454755
40000,1,2960.68169
40000,1,2973.34563
40000,1,3007.048461
40000,1,3033.645314
40000,1,3069.058557
40000,1,3099.113895
40000,1,3112.970448
40000,1,3152.609831
40000,1,3177.610395
40000,1,3216.780615
40000,1,3245.964992
40000,1,3273.54162
40000,1,3303.350558
40000,1,3327.276578
40000,1,3362.01987
40000,1,3384.8962
40000,1,3407.773366
40000,1,3438.877769
40000,1,3461.927652
40000,1,3478.641247
40000,1,3512.527932
40000,1,3537.978451
40000,1,3562.350637
40000,1,3589.624155
40000,1,3622.606624
40000,1,3647.761285
40000,1,3671.529213
40000,1,3696.898927
40000,1,3727.27401
40000,1,3743.175126
40000,1,3774.476042
40000,1,3813.745945
40000,1,3830.274049
40000,1,3855.111108
40000,1,3894.898182
40000,1,3923.380042
40000,1,3945.79701
40000,1,3971.182888
40000,1,3993.551048
40000,1,4021.400422
40000,1,4049.728537
40000,1,4074.364746
40000,1,4104.602383
40000,1,4134.112392
40000,1,4158.434672
40000,1,4181.942993
40000,1,4209.271358
40000,1,4226.109075
2949.430457,1,4277.203369
40000,1,4300.606968
40000,1,4329.686193
40000,1,4357.579411
40000,1,4381.266968
40000,1,4416.601568
40000,1,4448.589385
40000,1,4477.35351
40000,1,4502.487364
40000,1,4514.526502
40000,1,4556.825938
40000,1,4577.172663
40000,1,4607.082449
40000,1,4638.508649
40000,1,4670.438559
40000,1,4694.445355
40000,1,4724.967582
40000,1,4756.677882
40000,1,4778.310471
40000,1,4811.387293
40000,1,4829.289623
40000,1,4866.288708
40000,1,4882.777112
40000,1,4919.834997
40000,1,4947.737361
40000,1,4967.99911
40000,1,5004.620826
40000,1,5036.914998
40000,1,5059.436681
2967.677039,1,5101.035703
40000,1,5121.118141
40000,1,5140.54346
40000,1,5165.116252
40000,1,5205.142226
40000,1,5223.605989
40000,1,5252.33256
40000,1,5281.229108
40000,1,5314.005859
40000,1,5336.249727
40000,1,5360.587968
40000,1,5388.671682
40000,1,5421.669971
40000,1,5445.280329
40000,1,5475.26316
40000,1,5505.114495
40000,1,5524.615326
40000,1,5559.727791
40000,1,5580.16684
40000,1,5608.054126
40000,1,5635.956945
40000,1,5661.622381
40000,1,5692.11697
40000,1,5709.490068
40000,1,5741.847817
2951.391265,1,5782.693762
40000,1,5795.34968
2960.301568,1,5840.138785
40000,1,5862.635561
40000,1,5890.28702
40000,1,5917.54795
40000,1,5935.336686
40000,1,5965.926829
40000,1,5990.144931
40000,1,6024.533095
2956.786188,1,6066.230392
40000,1,6090.606279
40000,1,6122.177869
40000,1,6157.291023
40000,1,6181.12172
40000,1,6213.393137
40000,1,6240.14349
40000,1,6266.456319
40000,1,6294.345371
40000,1,6318.983867
40000,1,6339.063213
40000,1,6367.263391
40000,1,6390.647187
40000,1,6418.980382
40000,1,6448.668904
40000,1,6471.739904
40000,1,6503.190464
40000,1,6525.478539
2962.378437,1,6559.249949
40000,1,6573.997209
40000,1,6606.77107
40000,1,6622.966978
40000,1,6648.454905
40000,1,6676.674535
40000,1,6698.544273
40000,1,6727.227202
40000,1,6757.395438
40000,1,6787.122267
40000,1,6821.198775
40000,1,6849.728939
40000,1,6883.614423
40000,1,6914.210243
40000,1,6936.658019
40000,1,6967.632469
40000,1,6984.680525
