#{"t_start": 1668588868.0657248, "env_id": null}
r,l,t
1205.535807,1,4.80263
1175.745211,1,11.290098
1223.190067,1,15.236517
1321.7294,1,22.53745
1212.322375,1,25.835267
1180.972561,1,31.606984
1183.197109,1,35.875932
1188.524362,1,41.437207
1172.156097,1,46.854676
1198.454897,1,54.244089
1180.45875,1,58.161452
1144.747139,1,64.894068
1217.304219,1,69.084312
1197.490953,1,75.338453
1226.09585,1,79.841022
1182.265494,1,84.400079
1188.364571,1,89.951807
1178.490438,1,97.001532
1185.560215,1,100.570024
1215.859198,1,105.898858
1131.266361,1,112.011232
1136.494419,1,117.834144
1203.850747,1,122.212256
1141.069993,1,126.931747
1207.985346,1,133.699504
1178.068371,1,137.985188
1182.185646,1,145.070402
1191.888093,1,151.145113
1216.749436,1,154.792999
1197.274033,1,160.943384
1157.186666,1,166.256815
1180.266166,1,172.061163
1170.9547,1,177.353238
1210.265339,1,182.557027
1151.687711,1,187.533004
1160.779155,1,192.78102
1160.562267,1,200.376292
1191.999251,1,203.50873
1153.467372,1,208.347242
1154.992283,1,214.025521
1170.750441,1,218.925148
1203.184733,1,224.306899
1193.131286,1,228.63286
1211.966532,1,235.913773
1137.861945,1,239.533138
1216.928398,1,246.548301
1213.18072,1,251.195515
1203.319412,1,254.77363
1156.378385,1,259.781197
1149.378525,1,266.2382
1137.272395,1,269.617142
1152.035949,1,274.769805
1199.291814,1,281.269116
1191.21061,1,285.085198
1205.515723,1,291.041017
1161.556491,1,294.908815
1170.488421,1,306.601237
1215.063782,1,314.296943
1164.232496,1,318.191098
1188.338614,1,325.482586
1139.275061,1,328.491917
1237.406729,1,334.630829
1210.323166,1,339.110124
1210.540158,1,343.998337
1206.094878,1,350.213472
1196.57296,1,355.137204
1168.360509,1,360.657425
1215.27106,1,366.615277
1158.811265,1,371.862753
1216.152136,1,380.132442
1231.380737,1,384.509372
1191.38224,1,390.714294
1205.182333,1,395.607118
1184.335593,1,399.833981
1184.847862,1,404.967752
1164.975054,1,411.633372
1194.838781,1,416.533461
1196.816824,1,423.908156
1257.106481,1,430.467776
1188.310385,1,434.638939
1183.180211,1,440.157391
1197.712993,1,445.75431
1180.041226,1,450.299443
1184.206708,1,457.603911
1269.909557,1,463.653202
1228.062641,1,467.539085
1205.276004,1,473.887835
1169.730536,1,479.164604
1244.55725,1,484.449327
1200.493445,1,488.49867
1183.336569,1,493.920826
1156.125783,1,499.381656
1147.446376,1,504.507324
1198.185485,1,511.573637
1150.77054,1,515.581168
1207.396476,1,521.241015
1209.931501,1,527.615226
1212.754188,1,533.283268
1270.347286,1,537.030056
1210.969773,1,542.18385
1179.71201,1,547.539287
1322.559209,1,565.49864
1188.628427,1,569.127689
1178.439655,1,576.338418
1228.078736,1,581.092447
1140.575924,1,588.297338
1185.016169,1,591.95497
1150.918034,1,599.554002
1181.55662,1,603.513456
1252.539967,1,610.809023
1256.755025,1,616.722852
1210.436991,1,622.437975
1239.458808,1,628.117714
1215.767718,1,633.027427
1243.026382,1,638.169884
1246.428488,1,644.768134
1230.615657,1,650.934959
1211.930832,1,657.966839
1278.92527,1,662.453956
1222.584335,1,667.445149
1212.691784,1,675.064268
1271.975279,1,682.184315
1196.25672,1,689.693337
1187.868694,1,692.819587
1226.346912,1,702.39889
1170.665079,1,708.539142
1305.832605,1,713.513344
1201.23097,1,719.370781
1189.793322,1,724.87509
1149.510171,1,731.302256
1225.181804,1,738.602595
1223.090359,1,744.749133
1262.685378,1,749.936806
1209.693461,1,756.515713
1248.53313,1,762.521237
1142.894819,1,767.369487
1187.645104,1,783.151626
1272.713304,1,791.237258
1216.044087,1,795.890899
1202.569993,1,806.094195
1243.518961,1,812.967006
1248.696824,1,820.012116
1241.395975,1,826.422894
1241.714991,1,830.848433
1257.950054,1,839.469738
1236.755905,1,847.586836
1233.177298,1,856.458895
1294.080094,1,862.047129
1249.219657,1,869.042916
1265.343957,1,876.87012
1163.141658,1,882.113773
1253.344314,1,891.03421
1235.988213,1,899.621667
1211.289665,1,905.463004
1255.551151,1,911.185863
1169.987438,1,916.837727
1255.857101,1,928.15007
1249.734079,1,934.821884
1223.884605,1,940.910483
1258.811398,1,948.710639
