#{"t_start": 1654100236.800855, "env_id": null}
r,l,t
763.451563,1,5.457824
815.278342,1,10.348126
728.085163,1,14.90648
949.245155,1,25.037076
745.607808,1,29.656537
803.865805,1,34.224033
885.942713,1,39.947087
859.089899,1,45.183145
911.892805,1,51.268102
843.426631,1,56.580806
795.32412,1,61.820285
838.548171,1,67.069579
803.170343,1,72.055225
818.94728,1,77.131863
827.018803,1,82.431585
745.540208,1,87.326695
705.495983,1,91.416116
762.436332,1,95.953544
759.731929,1,100.448913
774.080488,1,105.184422
835.448156,1,110.262155
806.165017,1,114.817369
844.12172,1,120.022298
736.856157,1,123.888772
769.708335,1,128.76528
842.866786,1,133.686576
773.937811,1,138.511352
814.814998,1,143.203065
974.215842,1,149.95858
793.569823,1,154.609158
816.900987,1,159.461576
765.461647,1,163.762463
912.937853,1,169.457788
869.329073,1,174.584075
712.970784,1,179.0047
843.540069,1,184.199692
847.921965,1,189.657094
796.730473,1,194.728464
776.341397,1,199.635415
796.652347,1,204.382489
754.200801,1,209.162979
859.869982,1,214.612073
914.757346,1,219.804777
778.48957,1,224.538754
765.223938,1,229.225129
782.343016,1,233.795825
812.197907,1,238.906431
831.807561,1,243.977418
855.691215,1,249.38625
925.598303,1,255.410227
764.553907,1,260.389426
826.267456,1,264.662387
782.219936,1,269.514869
833.023248,1,274.632758
864.286347,1,279.604481
894.574835,1,285.031554
711.922925,1,289.307255
782.45598,1,294.099195
801.794696,1,299.186297
697.077205,1,303.282859
722.426872,1,307.811695
841.037895,1,312.775335
784.756706,1,317.218654
787.394059,1,322.059959
790.884702,1,327.006155
815.233195,1,331.973202
993.870548,1,339.031348
809.581147,1,343.462857
770.831128,1,347.63294
811.161801,1,352.839577
850.628305,1,357.910384
800.916126,1,362.281199
747.353186,1,366.892232
805.111033,1,371.551488
878.446294,1,377.962004
813.420874,1,382.68602
732.247542,1,387.29443
988.874609,1,394.388683
826.604137,1,399.108719
793.169724,1,404.093946
854.150446,1,408.799997
816.910672,1,413.683316
865.2752,1,419.173486
804.579759,1,423.686697
777.119557,1,428.332771
803.708998,1,433.070157
840.384184,1,438.241749
894.94231,1,444.157054
777.018093,1,448.536136
819.451246,1,453.233084
828.45237,1,458.20702
777.598034,1,462.834945
970.897615,1,468.841197
769.62972,1,473.390838
810.887375,1,478.502313
782.260574,1,483.195482
993.556397,1,490.846647
852.010712,1,496.327275
798.00351,1,500.8437
779.959404,1,505.609503
800.743494,1,510.900996
745.461994,1,515.583997
1055.221137,1,523.502364
866.64446,1,528.662435
805.829407,1,533.380159
815.912467,1,538.22121
790.696146,1,542.759079
847.877549,1,547.928998
804.919383,1,552.5428
756.33373,1,557.388707
851.635696,1,562.227692
793.028036,1,566.66025
777.087702,1,571.26751
767.88643,1,575.487834
806.732682,1,580.2328
696.090236,1,584.280079
852.799521,1,589.491912
847.437191,1,595.113359
859.469347,1,600.755927
1114.278047,1,609.059829
822.535837,1,613.630042
805.640508,1,618.507257
813.560427,1,623.466604
804.546677,1,628.27743
781.412888,1,633.030844
783.940238,1,637.717409
778.505581,1,641.92282
835.2366,1,647.152342
830.927843,1,651.946747
924.029855,1,658.11892
723.988619,1,662.228014
741.701265,1,666.369836
863.770172,1,672.002021
851.534087,1,677.105582
773.542168,1,682.004881
776.8122,1,686.259672
853.929347,1,691.079295
727.431924,1,695.380651
887.735496,1,700.747028
760.076674,1,705.466422
886.501991,1,710.925356
829.701643,1,715.198842
795.323281,1,719.525515
970.154841,1,725.92701
788.32692,1,730.551299
807.238453,1,734.941109
907.977755,1,741.895669
779.052817,1,746.716412
791.258204,1,751.774123
818.782111,1,756.414342
886.598238,1,762.171199
721.3884,1,766.588285
805.487944,1,771.155287
825.86222,1,776.07921
797.553709,1,781.158904
854.432786,1,786.172303
803.330944,1,790.907861
870.052038,1,796.003635
769.212072,1,800.489835
782.316703,1,804.793562
879.274861,1,809.936237
821.314422,1,814.860297
800.968095,1,819.776854
826.227373,1,824.641367
788.642722,1,829.589639
991.05282,1,836.13254
778.269867,1,840.569914
762.748361,1,845.246613
773.846007,1,849.747537
793.082103,1,854.38802
1175.486913,1,864.060333
1200.871209,1,873.372714
780.304994,1,877.9678
791.68887,1,882.347871
668.438184,1,886.427659
798.876698,1,891.136408
839.064467,1,896.054087
781.686387,1,900.749628
829.992253,1,905.540497
842.858232,1,910.441842
717.057106,1,914.854616
711.958133,1,918.892306
836.084545,1,923.91041
854.381479,1,929.014218
943.33078,1,935.61655
835.610703,1,940.633828
887.515281,1,945.956753
865.014013,1,952.157193
790.813887,1,957.482251
