#{"t_start": 1652373530.135419, "env_id": null}
r,l,t
837.854301,1,7.520644
818.716925,1,12.784886
819.288098,1,18.254981
767.297173,1,22.776208
858.750746,1,28.403481
809.774388,1,33.505051
874.040623,1,38.9737
747.247486,1,43.561176
924.81854,1,49.776941
775.696067,1,54.884259
794.401706,1,59.789145
763.945768,1,65.120355
854.739735,1,70.282435
751.603693,1,75.250553
824.450272,1,80.537319
775.196216,1,85.517853
799.582427,1,90.280855
788.063889,1,95.38398
766.328042,1,100.255491
760.869409,1,105.554336
758.463566,1,110.205994
839.434489,1,115.658083
820.656173,1,120.68801
765.163643,1,126.162749
798.649047,1,130.951451
882.30689,1,136.77015
908.433493,1,142.505013
778.384542,1,147.507602
880.459757,1,153.52965
747.239391,1,158.202336
836.279117,1,163.501952
862.131069,1,168.610627
868.293389,1,175.679255
900.219458,1,181.291361
772.242543,1,186.28712
741.287994,1,190.791577
824.867229,1,196.066974
755.68294,1,200.799644
772.493162,1,205.931525
865.66972,1,211.408549
787.973727,1,216.426666
735.084736,1,221.200344
768.640841,1,225.93238
786.666628,1,230.951333
836.74169,1,236.300804
865.072022,1,241.692236
813.727615,1,247.686434
787.846752,1,252.279309
786.03546,1,257.567584
759.689624,1,262.30741
753.463861,1,266.780871
756.077812,1,271.065399
799.218126,1,276.32211
787.148731,1,281.364141
772.209475,1,286.707957
771.46188,1,291.441186
738.744305,1,296.205365
793.931182,1,300.954395
782.576408,1,306.132004
768.866883,1,311.224342
905.659394,1,317.085449
784.339968,1,322.157666
883.174379,1,327.861402
747.050652,1,332.64966
874.620098,1,338.552356
811.913204,1,344.024529
828.215922,1,349.324811
775.717797,1,354.434928
948.650442,1,360.793415
781.768785,1,365.715482
860.518626,1,371.652219
848.433301,1,377.613137
806.624785,1,383.170036
750.375132,1,387.844244
914.784935,1,393.683576
764.251587,1,398.633699
826.659506,1,404.032301
881.279689,1,409.883785
830.074366,1,415.306833
803.220691,1,420.61394
794.967814,1,425.533875
771.786418,1,430.255799
766.865896,1,434.719318
777.135576,1,439.836858
782.52482,1,444.796545
1071.929978,1,453.799748
819.482199,1,458.858353
753.759852,1,464.337479
829.798235,1,469.482642
745.454302,1,474.410661
839.323848,1,479.405835
802.186748,1,484.73812
867.299846,1,490.312701
803.180214,1,495.616505
816.982321,1,500.817471
878.100847,1,506.694744
794.5404,1,511.813475
835.028983,1,516.899384
834.336837,1,521.907094
738.403321,1,526.459402
823.738893,1,532.286069
874.619376,1,537.529653
807.43963,1,542.813583
800.415097,1,547.98987
788.158177,1,553.201511
993.693941,1,560.890278
783.569262,1,565.535961
737.279739,1,570.018199
823.125207,1,575.413736
818.845785,1,580.446374
744.16401,1,585.548966
706.718693,1,589.992485
796.111449,1,595.412201
797.704518,1,600.576601
820.986469,1,605.809644
1018.403962,1,613.681743
771.47379,1,618.681172
830.181675,1,623.892447
770.145749,1,629.124269
824.800801,1,634.004162
838.44911,1,639.594662
785.706243,1,644.668124
797.952078,1,649.638465
732.497996,1,654.572186
715.577866,1,659.43019
808.634561,1,664.455544
816.616893,1,669.431064
715.570895,1,673.778127
943.796986,1,680.931097
801.822021,1,685.954071
822.537275,1,690.814978
843.22026,1,695.897843
885.394161,1,701.465372
709.773062,1,705.900687
776.510149,1,710.374489
830.130032,1,715.833209
783.947262,1,720.930767
755.357761,1,725.729789
710.731892,1,730.229502
778.47488,1,734.725822
936.361439,1,742.279728
873.836342,1,748.713813
793.620054,1,753.769463
867.875282,1,759.314764
771.990258,1,764.440857
828.442019,1,769.743842
804.65295,1,774.610017
727.592548,1,779.544892
734.808614,1,784.255561
1314.993808,1,795.406734
831.192359,1,800.630801
877.734873,1,806.629596
795.449506,1,811.446074
862.873613,1,816.931292
803.619536,1,821.617443
845.614628,1,826.724466
805.441929,1,831.868673
727.888714,1,836.214759
869.983472,1,841.839514
823.151342,1,847.005707
786.228178,1,852.221168
972.910277,1,858.602825
739.676104,1,863.580515
809.663654,1,868.507082
850.958268,1,873.776814
819.874391,1,879.286714
747.073141,1,884.260334
840.481335,1,890.413074
806.47045,1,895.140861
