#{"t_start": 1652886498.1718936, "env_id": null}
r,l,t
1325.909334,1,10.183454
760.233969,1,14.587309
783.071912,1,19.44466
1020.23017,1,25.758354
872.535607,1,31.081668
1030.047773,1,37.14549
831.41228,1,42.01836
763.344832,1,46.608899
774.239574,1,51.296738
839.462425,1,56.59956
748.490621,1,61.078322
855.207374,1,65.892724
905.975563,1,72.337655
843.036794,1,77.241336
899.955101,1,82.818477
777.576744,1,87.37961
960.500206,1,93.102883
840.948311,1,98.041667
742.638817,1,102.839932
934.725657,1,108.277654
857.67677,1,113.508436
1031.049784,1,119.816162
740.010566,1,124.273438
885.560764,1,129.676132
832.752738,1,134.803677
916.511054,1,140.082883
861.927512,1,145.261503
771.838544,1,149.917084
781.221524,1,154.654626
799.894793,1,159.857363
727.605914,1,164.428778
997.708722,1,170.197849
848.053386,1,174.903658
925.536312,1,180.489425
848.603994,1,185.46304
994.89351,1,193.29686
736.496948,1,198.177232
949.389422,1,204.067756
1161.632784,1,211.159082
892.526857,1,216.511113
843.91513,1,221.592496
850.249562,1,226.616695
760.196816,1,231.154987
848.428807,1,236.980143
697.259318,1,241.382201
882.233836,1,246.465072
861.781611,1,251.79452
829.260201,1,256.366323
967.365918,1,261.805048
1038.822752,1,267.765321
915.003869,1,273.120995
780.635891,1,277.709348
904.538715,1,283.470157
841.677915,1,288.586194
822.171375,1,293.418609
881.542838,1,298.87292
893.040493,1,303.89338
796.501189,1,308.877356
726.959797,1,313.506519
817.451553,1,318.878839
895.284381,1,323.989709
834.68471,1,329.137502
896.533711,1,334.301733
866.466847,1,339.483357
907.484331,1,344.861406
782.188333,1,349.660617
945.470928,1,355.42605
852.349777,1,360.263757
908.118319,1,365.422972
967.042049,1,371.098674
984.150209,1,376.623882
818.780731,1,381.426386
1033.116009,1,387.387795
1191.001111,1,394.622736
883.631858,1,399.674721
907.63871,1,405.17791
796.076829,1,410.000287
912.177086,1,415.301679
752.428734,1,420.18941
888.985857,1,425.589197
725.047001,1,429.717202
753.099945,1,434.75824
894.269517,1,440.155428
779.175105,1,445.057779
831.773614,1,449.443694
868.289215,1,454.765746
948.535685,1,460.382389
847.143653,1,465.614
858.025074,1,470.670806
911.323831,1,475.911309
750.299376,1,480.587252
887.144505,1,486.078177
805.200688,1,490.827255
878.413289,1,495.9822
771.430193,1,500.385711
889.854152,1,506.00841
853.838636,1,511.166605
914.862461,1,516.575926
697.701077,1,520.816868
865.87954,1,525.925903
762.715106,1,530.787787
839.271763,1,536.009917
823.607607,1,540.641986
763.180965,1,545.591727
874.159197,1,551.001849
942.289051,1,556.484512
1178.111729,1,564.009011
836.45324,1,569.086898
835.757491,1,574.271858
896.59358,1,579.862926
897.162112,1,585.036188
924.65675,1,590.637931
954.697857,1,596.429785
840.773202,1,601.591271
852.554279,1,606.65064
780.825809,1,611.400315
806.998626,1,616.076323
839.574641,1,621.010856
809.002886,1,625.778043
878.020761,1,630.870213
844.904439,1,636.002552
807.791521,1,640.580746
869.031611,1,645.759217
890.013479,1,651.102017
805.205052,1,656.164699
844.158714,1,661.274137
820.497738,1,666.488819
1005.645757,1,672.30662
705.857177,1,676.631671
943.296942,1,682.080829
746.131646,1,686.399184
803.684333,1,691.358656
883.21102,1,696.801364
1124.366496,1,704.592527
916.224127,1,710.042406
839.774895,1,714.918268
821.620416,1,720.08029
795.021213,1,725.20745
817.821138,1,730.442113
748.699867,1,734.598211
939.102375,1,740.14642
799.897727,1,745.32015
896.189051,1,750.727371
874.557638,1,755.787534
1167.610955,1,764.01023
853.435135,1,769.045896
859.122889,1,774.166988
815.261076,1,778.878442
821.172596,1,784.049411
884.958748,1,789.232652
1217.646188,1,796.857234
842.539195,1,801.807752
804.628075,1,806.807668
921.74973,1,811.825378
734.044083,1,816.279001
754.054288,1,820.802837
891.824798,1,826.308032
815.62176,1,831.114071
910.85215,1,836.404608
814.644675,1,841.114803
800.8707,1,846.16482
1164.031112,1,853.427856
1132.376218,1,860.826977
865.210345,1,865.744519
844.612049,1,871.038418
820.139523,1,875.774883
900.212551,1,881.016827
778.307426,1,885.707341
832.095464,1,890.647308
781.792915,1,895.277744
792.456126,1,899.865157
780.158438,1,904.410947
852.496729,1,909.263703
815.88467,1,914.5432
821.092565,1,919.476762
912.668388,1,924.776006
858.670202,1,929.599587
711.270836,1,934.12075
805.606977,1,939.292534
861.392762,1,944.80109
853.553907,1,949.902128
871.399614,1,955.177363
864.018048,1,960.359037
1110.899883,1,967.742917
772.45405,1,972.074602
844.984603,1,976.787501
878.749286,1,982.067328
900.764905,1,987.181931
807.488135,1,991.730678
801.947705,1,996.609373
848.43229,1,1001.758016
808.362214,1,1006.78327
741.423572,1,1011.580938
817.412994,1,1016.326024
733.300164,1,1020.593745
811.44241,1,1025.754518
834.616713,1,1030.872923
863.068188,1,1035.94067
868.23619,1,1041.094056
814.421997,1,1046.026673
900.382598,1,1051.33575
832.391209,1,1056.635997
812.546313,1,1061.530597
829.150386,1,1066.363767
781.35754,1,1071.367797
855.771357,1,1076.268227
917.210764,1,1081.69237
935.723623,1,1087.135711
848.876157,1,1092.258546
984.168111,1,1098.372613
943.841337,1,1103.795418
789.800613,1,1108.577108
1247.790327,1,1116.291191
861.086149,1,1121.011332
968.630047,1,1126.658654
856.782361,1,1131.509646
851.864184,1,1136.53691
1005.663496,1,1142.266919
837.632464,1,1147.600412
919.705761,1,1153.102783
907.849909,1,1158.589404
862.006523,1,1163.676326
811.216814,1,1168.799982
1176.716869,1,1176.258715
972.241065,1,1182.041973
860.709445,1,1187.244905
858.692884,1,1192.64461
911.089149,1,1197.871937
803.997313,1,1202.994919
750.443757,1,1207.542032
871.683403,1,1212.900624
924.761471,1,1218.072222
739.696419,1,1222.535788
843.956786,1,1227.543142
826.740346,1,1232.72102
2019.239783,1,1245.591458
831.729668,1,1250.484515
740.638358,1,1254.682794
868.648695,1,1260.368011
788.729509,1,1264.773844
956.656823,1,1270.628289
919.125063,1,1276.048316
874.171628,1,1281.265584
864.70538,1,1286.239661
823.63754,1,1291.136702
789.502311,1,1295.706881
716.907896,1,1300.036679
792.313758,1,1305.06139
801.210904,1,1309.986437
769.007894,1,1314.404172
852.900608,1,1319.447436
891.931429,1,1324.500491
835.930174,1,1329.457083
720.567913,1,1333.734925
867.001084,1,1338.744906
883.803819,1,1343.985872
793.624741,1,1349.282526
890.692808,1,1354.276076
829.190858,1,1358.951058
852.934592,1,1364.386554
917.481871,1,1369.753413
1063.857473,1,1376.519706
819.73034,1,1381.642611
827.783381,1,1386.454735
858.033381,1,1391.553288
886.947582,1,1396.690354
890.169142,1,1402.155876
764.699128,1,1406.492859
835.761188,1,1411.393925
918.438485,1,1416.596906
790.417963,1,1421.239763
854.774969,1,1426.407553
895.84872,1,1431.76112
931.770423,1,1437.277361
848.732551,1,1442.200081
824.181226,1,1447.207601
859.172023,1,1452.11447
855.319601,1,1457.269458
776.994276,1,1461.758024
835.001261,1,1466.712127
773.334067,1,1471.893389
773.216703,1,1476.866127
739.602221,1,1481.213454
798.239874,1,1485.985809
812.759704,1,1490.656855
828.857336,1,1495.803773
1142.092818,1,1503.696917
818.387174,1,1508.611572
912.254675,1,1514.154658
806.872342,1,1519.243565
773.380218,1,1523.513585
845.253608,1,1528.922271
806.148567,1,1533.844105
837.36449,1,1539.03848
921.082829,1,1544.539022
860.903162,1,1549.803978
1129.300203,1,1557.181931
877.547513,1,1562.501122
1062.068886,1,1570.14032
837.337043,1,1575.303896
841.831818,1,1579.906693
831.36999,1,1584.934146
922.497054,1,1590.413772
961.386558,1,1596.533613
770.014519,1,1601.088304
825.761958,1,1606.366942
838.443699,1,1611.224766
839.209918,1,1616.40715
820.722861,1,1621.495678
768.538722,1,1626.495989
877.097943,1,1631.412268
912.761111,1,1636.664916
931.833263,1,1642.252322
877.398036,1,1647.60359
793.832776,1,1652.382281
808.932112,1,1657.299706
782.124552,1,1661.940137
809.618228,1,1666.763761
784.500438,1,1671.938631
830.046528,1,1677.068522
921.235661,1,1682.473244
824.121242,1,1687.545944
1081.494671,1,1694.965991
788.687682,1,1699.610206
808.556628,1,1704.517448
773.195171,1,1709.17377
777.812177,1,1713.621431
757.204505,1,1718.22277
946.44145,1,1724.422929
867.428407,1,1729.335167
885.003134,1,1735.011642
892.984697,1,1740.730433
955.122308,1,1746.652659
775.512088,1,1751.587487
882.940299,1,1756.749949
839.42419,1,1761.745902
1315.944058,1,1769.874859
878.005838,1,1774.880873
769.72823,1,1779.821735
752.37062,1,1784.538774
841.958579,1,1789.797117
838.46713,1,1794.837211
932.651245,1,1800.469678
826.22397,1,1805.842172
876.956347,1,1810.944715
862.545324,1,1815.916805
865.588456,1,1821.391071
831.439467,1,1826.184811
866.847881,1,1831.320121
824.733921,1,1836.440128
817.571463,1,1841.249277
805.550916,1,1846.195595
827.844201,1,1851.17775
865.588518,1,1856.054589
887.273329,1,1861.621028
892.07692,1,1866.588816
815.215127,1,1871.780198
1065.442882,1,1878.424455
856.707598,1,1883.698093
945.359746,1,1889.125356
892.294507,1,1894.744754
886.151738,1,1899.856319
829.875263,1,1905.139556
888.327702,1,1910.313631
1260.646647,1,1918.934352
869.782756,1,1924.134205
823.398094,1,1929.280379
971.166339,1,1934.882232
932.923193,1,1940.315856
822.114828,1,1945.085162
854.464484,1,1950.45169
808.103718,1,1955.379243
840.261663,1,1960.785141
749.612554,1,1965.092093
820.896242,1,1970.125845
1351.048307,1,1978.8943
