#{"t_start": 1647788079.5470421, "env_id": null}
r,l,t
871.783904,1,7.294577
852.974995,1,14.564464
792.541186,1,19.746323
747.447322,1,24.156712
908.812426,1,30.409056
848.855607,1,35.62317
822.007137,1,40.511108
730.951078,1,44.855611
1150.570818,1,54.166952
829.072546,1,59.629086
811.990615,1,64.672941
766.85352,1,69.803384
773.461213,1,74.118594
779.677601,1,79.066145
863.892824,1,84.668765
764.702923,1,89.706803
806.404056,1,94.463503
773.821664,1,99.479499
741.455727,1,103.914194
791.537788,1,109.4351
767.026771,1,114.29729
912.41255,1,120.159201
796.610549,1,124.866559
754.163239,1,129.875169
785.292509,1,134.402839
795.491508,1,139.200032
813.60108,1,144.226746
778.783667,1,149.356577
859.290261,1,155.031735
757.493752,1,159.726091
780.625919,1,165.003954
1046.615253,1,171.994045
734.38012,1,176.783524
967.755837,1,182.984423
780.422491,1,188.24678
774.525137,1,193.000963
802.422924,1,198.191469
797.587394,1,203.608079
749.763411,1,208.253305
845.868113,1,213.423384
809.880829,1,218.72176
728.7395,1,223.381011
830.834681,1,228.827169
729.751839,1,233.172581
754.490863,1,237.55395
846.04811,1,242.87789
901.448139,1,249.789913
825.606273,1,254.784468
774.360727,1,259.922489
820.706893,1,265.094199
755.832324,1,269.66313
853.520358,1,274.802539
852.32389,1,280.559977
744.710305,1,285.278341
798.981662,1,290.589662
797.684502,1,295.624937
778.644051,1,300.77819
757.662497,1,305.17114
780.584705,1,310.323719
737.962176,1,314.944136
890.542347,1,320.543347
814.267712,1,325.395626
941.6261,1,331.729506
773.19878,1,336.55008
830.629443,1,341.87867
734.185942,1,346.180373
814.612291,1,351.5521
771.061997,1,356.271311
860.721875,1,361.776223
774.593112,1,366.505875
836.514905,1,372.452286
803.093396,1,377.605229
826.318219,1,383.035234
734.598832,1,387.49888
866.319572,1,392.529869
760.992538,1,397.343809
790.789304,1,402.024014
860.54406,1,407.591953
837.812742,1,412.981608
798.97282,1,418.367322
832.911425,1,423.762758
776.085071,1,428.798791
824.031395,1,433.751106
793.05613,1,438.698447
778.424137,1,443.577946
1051.250933,1,451.331504
865.737344,1,456.779161
757.965334,1,461.978542
844.643317,1,467.433109
781.391432,1,472.383218
819.009398,1,477.518566
783.776923,1,482.471316
783.192646,1,486.977804
807.354381,1,492.079291
835.469658,1,497.25976
847.507047,1,503.981687
835.104032,1,508.98489
892.731608,1,515.397081
835.999553,1,520.697052
718.814474,1,525.154338
800.558935,1,530.49133
774.504477,1,535.129159
841.209659,1,540.358539
798.629446,1,545.534571
808.384908,1,551.258988
970.539669,1,558.489892
856.832494,1,564.22882
731.989228,1,569.482854
852.566799,1,575.93532
825.745581,1,583.302051
736.851642,1,588.424148
779.93004,1,594.254019
873.201566,1,601.376756
817.559127,1,607.448021
818.402684,1,612.363633
1015.702386,1,620.329412
830.657636,1,625.963906
910.377366,1,632.277432
794.911088,1,637.750912
783.772959,1,642.622858
825.383624,1,648.035017
806.993625,1,654.699301
790.771272,1,659.963115
698.19367,1,664.99776
745.269607,1,669.643592
789.199746,1,674.910878
835.639703,1,680.856054
779.927526,1,686.246421
818.057426,1,692.099205
779.921485,1,697.178157
840.470099,1,702.149097
878.839993,1,708.734835
838.006328,1,715.238863
743.53845,1,720.8555
835.924059,1,726.177791
824.24842,1,731.309575
762.120326,1,736.790506
765.882326,1,744.240107
751.036112,1,754.744961
816.368214,1,766.156363
976.553949,1,783.339741
785.627431,1,794.740715
834.974225,1,803.575
927.185787,1,813.636625
774.904431,1,820.394942
817.49251,1,828.675869
797.234773,1,836.020741
721.540238,1,845.854891
729.474582,1,855.973491
857.219345,1,867.087808
824.41692,1,873.229653
822.541125,1,881.766142
800.775428,1,889.879939
846.236108,1,897.508394
830.468883,1,908.472674
833.581798,1,918.326467
874.525461,1,930.171955
793.599276,1,937.86661
793.63444,1,947.894661
810.32804,1,957.329275
784.779774,1,965.015648
941.672749,1,972.869984
774.766657,1,980.353135
873.156121,1,990.627859
826.983109,1,1002.182177
736.89907,1,1010.851615
758.472861,1,1020.010257
814.147293,1,1028.62723
827.254124,1,1034.745917
1064.488543,1,1051.760611
849.931435,1,1063.230204
805.523474,1,1071.100195
861.413305,1,1078.970598
881.339029,1,1088.403103
791.831401,1,1094.180812
809.74817,1,1099.415327
845.240274,1,1104.595697
784.441563,1,1109.507375
810.578115,1,1114.711841
835.717473,1,1119.535417
826.877407,1,1124.481707
792.635494,1,1129.463632
798.533389,1,1134.069004
878.702262,1,1139.585022
806.595345,1,1144.495918
722.22955,1,1148.570003
812.743401,1,1153.739092
778.364235,1,1158.557917
855.56956,1,1163.835708
755.46419,1,1168.280385
818.192188,1,1173.916227
771.922858,1,1178.925554
816.727702,1,1184.217185
822.33312,1,1189.543094
800.257734,1,1195.928463
815.28237,1,1201.143379
824.375894,1,1207.099312
758.992029,1,1211.517792
817.565452,1,1216.636563
804.545887,1,1222.222417
837.419699,1,1231.602814
790.853583,1,1236.870567
787.792692,1,1241.959761
764.199281,1,1246.832973
798.710317,1,1251.934907
852.339346,1,1257.210732
830.443056,1,1262.505331
777.539188,1,1266.959661
846.400429,1,1272.32251
853.047189,1,1277.789413
842.523223,1,1283.227212
702.552316,1,1287.381287
753.090649,1,1292.52278
812.308128,1,1297.515744
768.602607,1,1302.430674
768.156932,1,1306.993764
802.367309,1,1312.071289
824.744095,1,1317.234103
827.967479,1,1322.385541
811.774312,1,1327.259588
809.604081,1,1332.435566
773.367459,1,1337.660557
817.629263,1,1342.719554
781.485202,1,1347.450759
1210.154146,1,1357.276658
826.712956,1,1362.308639
839.111665,1,1367.424785
793.953957,1,1372.344962
749.112641,1,1377.416577
741.9115,1,1381.908658
715.682409,1,1386.32258
783.611942,1,1391.330172
801.898304,1,1396.32948
819.481479,1,1401.579569
793.830841,1,1406.675878
1021.206907,1,1415.055361
772.600665,1,1419.386006
741.571048,1,1423.889605
888.547807,1,1429.539417
800.548847,1,1434.468072
945.310282,1,1440.862183
756.401447,1,1445.847447
801.727564,1,1450.596896
789.39124,1,1455.840755
820.008431,1,1460.636523
821.38351,1,1466.002193
743.91233,1,1470.279731
790.289404,1,1475.082556
828.32896,1,1479.947824
875.581031,1,1485.823375
766.42029,1,1490.942269
834.739254,1,1496.596467
853.405354,1,1502.112432
844.257604,1,1507.029293
830.146453,1,1511.991686
747.126011,1,1516.864462
713.38003,1,1521.039595
837.876179,1,1526.675557
789.741013,1,1531.241703
785.904228,1,1536.093769
760.100315,1,1541.123669
811.19313,1,1546.0602
807.62426,1,1551.320653
847.509225,1,1556.352766
817.117313,1,1561.591288
801.420768,1,1566.751634
801.418938,1,1571.949024
770.709857,1,1576.826671
843.518628,1,1582.275257
767.079398,1,1586.731923
813.139575,1,1591.734758
769.917979,1,1596.265412
795.50934,1,1601.292732
1091.277232,1,1610.464049
768.833365,1,1615.326303
813.468581,1,1620.51313
783.464308,1,1625.798669
767.040325,1,1630.617545
1738.659644,1,1649.642215
793.707325,1,1654.697492
869.4015,1,1659.959737
742.537471,1,1664.811345
