#{"t_start": 1655919157.2675512, "env_id": null}
r,l,t
700.081294,1,5.202448
710.301642,1,9.778281
762.846125,1,14.101922
625.015245,1,18.160699
665.373186,1,22.699281
690.638697,1,27.139676
657.793169,1,31.320022
662.953801,1,35.360171
692.109607,1,39.905455
669.713843,1,44.245599
728.115151,1,49.013515
649.006461,1,53.242038
690.82879,1,57.752874
647.494136,1,61.753112
639.954405,1,66.115773
663.022527,1,70.304538
648.587582,1,74.672863
655.544138,1,79.001042
672.884617,1,83.31259
649.981411,1,87.430961
674.903485,1,92.023471
690.402067,1,96.666351
711.072778,1,101.054912
696.664863,1,105.623133
680.119128,1,109.80339
717.454837,1,114.365172
679.279681,1,118.621085
667.692835,1,122.91038
661.567542,1,127.172041
655.963942,1,131.446026
698.689444,1,135.928403
698.98778,1,140.321996
629.90134,1,144.27024
658.788429,1,148.469957
748.431942,1,153.049807
672.379169,1,157.318041
734.326504,1,162.007495
655.699975,1,166.131294
659.564224,1,170.361503
670.567345,1,174.73235
695.5195,1,179.178123
635.120023,1,183.414578
654.591178,1,187.578366
651.695562,1,191.726359
688.69976,1,196.022255
664.028772,1,200.305983
691.159655,1,204.537486
659.703313,1,208.965491
643.02903,1,212.899262
712.148509,1,217.602733
668.750233,1,222.04825
709.342581,1,226.743169
653.537962,1,231.015582
647.741713,1,235.258432
642.293374,1,239.400539
670.746646,1,243.790272
682.026455,1,248.105762
694.371729,1,252.526289
677.045778,1,256.789862
711.217328,1,261.27721
708.092988,1,265.987521
683.999929,1,270.340488
644.917,1,274.485084
707.073191,1,278.925961
623.089629,1,283.066083
669.899268,1,287.078363
669.936918,1,291.439186
694.921787,1,295.65705
682.232719,1,300.506742
671.18693,1,304.725068
673.808595,1,309.189187
647.341216,1,313.14019
699.141638,1,317.712258
662.344687,1,321.850454
667.004884,1,326.446393
634.266107,1,330.404521
660.061426,1,334.960557
727.823764,1,339.708338
656.949875,1,344.165713
680.986056,1,348.468068
643.016785,1,352.637582
644.633016,1,356.840287
646.80657,1,361.09348
668.006294,1,365.152217
653.258744,1,369.507279
690.912617,1,374.022209
725.086936,1,378.618223
683.953071,1,383.041931
705.275886,1,387.556636
637.375627,1,391.821678
661.090763,1,396.257018
667.088545,1,400.587739
669.906668,1,404.829955
693.03671,1,409.249963
675.978716,1,413.700236
653.717277,1,418.338137
712.543479,1,422.76868
658.126756,1,427.108442
647.98785,1,431.365854
670.800366,1,435.8745
705.097453,1,440.110839
622.54495,1,444.258273
677.79164,1,448.487669
639.855804,1,452.845193
817.330063,1,460.878297
650.604836,1,465.378824
667.324125,1,469.73029
647.331032,1,474.142971
657.31688,1,478.143674
681.984899,1,482.600139
669.837233,1,487.006886
669.307767,1,491.318627
693.067809,1,495.852626
654.326923,1,500.211596
700.132436,1,504.806878
672.14153,1,509.156609
725.204585,1,513.715694
696.255317,1,518.089179
694.976376,1,522.554904
659.599189,1,526.851183
667.9007,1,531.053059
647.846616,1,535.077266
657.596815,1,539.398789
676.941271,1,543.818335
661.358683,1,548.220723
657.918297,1,552.517858
719.417462,1,556.978482
666.197427,1,561.471134
672.738766,1,565.729117
694.569013,1,570.079117
684.444231,1,574.49329
680.102321,1,578.918911
697.548537,1,583.39602
660.568164,1,587.690569
654.41422,1,591.785522
685.595147,1,596.064697
680.366192,1,600.405253
660.240409,1,604.612745
670.152192,1,609.156821
681.012957,1,613.42182
673.69246,1,617.981038
662.510736,1,622.243232
669.352813,1,626.582352
657.516059,1,630.735857
730.290236,1,635.3663
667.732367,1,639.745634
651.769409,1,644.112057
662.06433,1,648.116791
659.872451,1,652.410611
651.847725,1,656.538684
707.245786,1,661.02182
635.04085,1,665.167885
641.8881,1,669.379164
651.465061,1,673.550026
674.762704,1,677.944402
668.172419,1,682.274783
725.466066,1,686.804132
656.848023,1,691.065385
710.52956,1,695.514451
694.24088,1,700.111697
662.255009,1,704.258842
699.55791,1,708.756746
650.128831,1,712.920742
658.588949,1,717.152319
651.193811,1,721.529595
665.641018,1,725.821435
698.267028,1,730.171451
662.046926,1,734.562343
655.561812,1,738.823534
640.024155,1,742.951844
652.589313,1,746.968745
673.826322,1,751.369744
665.057357,1,755.648032
677.730536,1,759.969605
680.623065,1,764.048925
625.984382,1,768.252967
618.547163,1,772.183732
655.617979,1,776.581089
671.035191,1,780.800512
663.661869,1,785.275641
665.493546,1,789.648719
652.727141,1,793.767026
673.039336,1,798.164315
658.130128,1,802.513926
699.181601,1,806.903437
699.293665,1,811.541133
662.399496,1,815.940983
654.737971,1,820.094505
658.453591,1,824.401246
717.311347,1,828.879442
669.139695,1,833.340991
645.125951,1,837.433071
743.327107,1,842.460754
690.447835,1,846.685694
660.393709,1,851.109193
687.431758,1,855.307293
657.971917,1,859.628587
681.5339,1,863.843323
711.433501,1,868.15109
680.236451,1,872.523609
649.515243,1,876.958924
685.546347,1,881.366917
672.916054,1,885.758843
690.10078,1,890.142664
694.831799,1,894.732307
668.322752,1,898.980181
637.988825,1,903.514121
664.98366,1,907.828398
662.58473,1,912.328908
792.015488,1,916.897593
673.215754,1,921.328511
703.902485,1,925.784951
699.523483,1,930.24614
685.314292,1,934.711159
673.195892,1,938.96981
723.477462,1,943.978638
664.815733,1,948.293605
661.995259,1,952.465983
737.248636,1,957.056634
653.514632,1,961.376312
657.481459,1,965.727649
641.009825,1,970.007111
684.204361,1,974.419648
665.347892,1,978.695292
626.683951,1,982.892537
605.964891,1,986.979247
663.661766,1,991.230473
683.618455,1,995.860075
691.232009,1,1000.161444
664.129311,1,1004.69731
662.962611,1,1008.752867
650.027585,1,1013.32513
690.782794,1,1017.715736
641.863914,1,1022.005957
686.326857,1,1026.229827
692.706,1,1030.534264
643.025584,1,1034.689508
