#{"t_start": 1651068444.8591397, "env_id": null}
r,l,t
835.63322,1,5.799329
843.881558,1,11.088252
794.400599,1,16.612059
800.038156,1,21.601686
992.198812,1,29.426076
899.185106,1,35.154094
908.243304,1,41.116166
781.420895,1,46.125874
876.638194,1,51.742008
819.710465,1,57.301916
823.048877,1,63.025203
783.692434,1,68.200699
818.101534,1,73.275287
795.692426,1,78.335024
829.570132,1,83.859549
767.103295,1,88.605647
794.075792,1,93.527669
775.426014,1,98.30638
778.751126,1,103.48867
794.650911,1,108.762081
776.945037,1,113.730435
852.83485,1,118.871041
818.282573,1,124.072126
763.756346,1,128.919173
834.549588,1,134.356431
857.171048,1,139.327788
871.003504,1,144.966751
825.506969,1,150.337194
810.09086,1,155.280957
771.268673,1,160.16893
797.293016,1,165.403033
941.856453,1,171.143952
899.682772,1,178.486956
845.578502,1,183.314557
800.909835,1,188.767072
761.973571,1,193.831184
760.142911,1,198.392856
792.459924,1,203.612754
783.424906,1,209.127339
862.804072,1,214.752321
818.668806,1,219.794671
794.792297,1,225.096937
776.055319,1,229.733029
812.905208,1,235.106415
858.228515,1,240.328485
829.18777,1,245.168169
804.347926,1,250.372212
883.700695,1,256.00837
767.040257,1,260.992804
744.849032,1,265.524476
788.473929,1,270.400513
777.25432,1,274.893242
845.815531,1,280.921874
781.819105,1,285.981012
787.180429,1,291.4481
797.426421,1,296.701777
793.90074,1,301.298403
823.316858,1,306.484494
743.396034,1,310.941031
751.225862,1,316.138054
1224.93515,1,326.057718
746.337882,1,330.53216
896.728507,1,335.99447
809.635837,1,341.554952
811.743636,1,346.383757
770.863252,1,351.49379
799.685757,1,356.701011
819.716319,1,362.181904
852.432739,1,367.191777
803.980432,1,372.638807
852.905132,1,379.675667
792.715002,1,385.367417
796.385245,1,390.75431
733.652677,1,395.86149
875.435754,1,400.825167
844.640989,1,406.45521
831.09771,1,411.7585
902.348663,1,417.824991
817.814203,1,423.06769
740.057442,1,427.789084
791.736462,1,432.971356
780.027552,1,437.826426
885.761017,1,443.443918
778.09742,1,448.769495
760.978172,1,453.570376
1243.317879,1,463.892302
818.060787,1,468.625611
722.335742,1,473.596953
901.615166,1,479.073519
774.736904,1,484.757293
836.534531,1,490.01558
782.859655,1,495.325231
856.425791,1,500.60741
820.777093,1,505.919908
868.27127,1,511.25725
840.381802,1,516.461398
816.33597,1,521.26994
854.15256,1,526.633588
813.353427,1,531.488048
792.415195,1,536.926615
812.512033,1,542.092552
904.694233,1,548.241055
818.31662,1,553.354127
785.873622,1,558.735205
797.392319,1,563.550904
870.213658,1,569.515207
824.603202,1,574.987629
796.726185,1,580.115293
788.750633,1,585.228747
859.135305,1,590.932737
743.117793,1,595.643087
768.908797,1,600.731372
756.469631,1,605.842293
815.692892,1,611.082185
828.377208,1,616.220775
967.577973,1,623.38293
805.172479,1,628.640099
904.895824,1,634.635538
781.398165,1,639.883267
831.366792,1,645.095026
822.533603,1,650.235923
752.402211,1,654.881099
807.275439,1,659.886984
776.301956,1,665.049546
700.287476,1,669.416496
793.049833,1,674.302117
808.308797,1,679.110126
776.933511,1,684.234367
720.372236,1,688.733905
791.01518,1,693.445932
853.437006,1,698.993369
835.958875,1,703.805878
854.156364,1,709.392396
761.271638,1,714.699367
929.601688,1,722.218689
839.687785,1,727.346652
796.240571,1,732.655084
785.246185,1,737.585537
791.666736,1,742.874076
839.651612,1,747.755327
843.032623,1,752.943795
778.411508,1,757.737063
820.710143,1,763.19139
767.375528,1,767.571992
