#{"t_start": 1652798213.6558175, "env_id": null}
r,l,t
947.539355,1,6.890617
891.153326,1,13.252992
821.976233,1,18.124029
738.666706,1,22.353826
997.97151,1,28.758138
867.547779,1,34.063775
833.734507,1,38.987905
725.207835,1,43.208657
1442.20652,1,55.62842
867.485785,1,61.750339
837.541013,1,67.257674
794.225457,1,72.345718
744.409484,1,76.248841
794.408296,1,80.977187
913.50357,1,86.703888
766.436613,1,91.50519
811.670155,1,96.016552
782.25318,1,100.721367
730.292447,1,104.790211
830.811473,1,111.145395
782.205761,1,116.317022
964.993874,1,122.836584
800.909007,1,127.43998
762.294447,1,132.40113
786.900727,1,136.826652
787.012824,1,141.550237
846.991266,1,146.421892
811.480343,1,151.370348
907.016548,1,156.646585
753.993063,1,160.959881
779.179851,1,165.83541
1166.265829,1,172.482397
763.596629,1,176.907688
1042.015294,1,182.807127
791.719202,1,187.712285
767.363098,1,192.008488
823.303378,1,196.914798
821.061256,1,201.871527
752.640748,1,206.227745
870.985198,1,210.799754
853.218925,1,215.68502
729.17153,1,219.886707
874.173548,1,225.085794
750.27473,1,229.147777
739.2597,1,233.274018
848.474363,1,238.265984
1020.799548,1,244.828391
848.646053,1,249.464953
814.89191,1,254.201043
860.365922,1,259.032604
751.13569,1,263.130064
878.497135,1,268.002157
903.479961,1,273.251037
749.723729,1,277.715054
822.310987,1,282.545217
815.311655,1,287.331084
784.410888,1,292.010252
750.809044,1,295.966936
819.52597,1,300.690211
738.307564,1,305.032799
932.579481,1,310.057328
831.191377,1,314.764165
996.542996,1,320.519414
805.931607,1,325.199664
853.682784,1,329.969697
733.512842,1,334.122502
831.949343,1,338.907983
768.237707,1,343.466924
903.454577,1,348.393452
787.216728,1,353.02863
912.454394,1,358.434101
824.83824,1,363.330443
871.590198,1,368.302724
719.970426,1,372.542103
852.146115,1,377.157121
764.801624,1,381.69345
819.923781,1,385.899423
904.9011,1,391.147916
869.555041,1,396.073891
841.907596,1,401.079701
873.325878,1,406.24177
785.606027,1,410.786676
847.856588,1,415.818966
812.263421,1,420.287761
801.87503,1,424.909078
1221.525656,1,432.164172
899.791326,1,437.359444
801.027651,1,442.058929
873.729095,1,447.315532
805.460524,1,451.79636
824.282998,1,456.749718
798.445036,1,461.137958
857.222672,1,466.131079
814.818668,1,470.644532
859.933736,1,475.608124
873.034191,1,480.793969
837.307772,1,485.560452
950.956899,1,491.037316
826.122429,1,495.937751
697.335785,1,499.843424
835.471011,1,504.856066
774.691709,1,508.918204
879.090705,1,513.838626
828.215368,1,518.493482
838.903077,1,523.720559
1105.65613,1,530.26845
910.975047,1,535.686168
838.514204,1,540.488292
903.012484,1,545.678679
837.076981,1,550.508305
717.404656,1,554.494748
784.311538,1,559.091277
943.446493,1,564.472073
833.014477,1,569.417735
828.596006,1,573.893436
1200.014159,1,581.20263
871.690084,1,586.383058
992.506297,1,592.116275
800.245202,1,597.114514
751.367531,1,601.26856
838.138493,1,606.041627
838.066047,1,611.061893
800.997764,1,615.651871
710.501057,1,620.014164
742.705233,1,624.193757
791.362118,1,628.853311
849.534549,1,633.810201
837.240091,1,639.216211
1207.204596,1,647.309609
785.785763,1,652.054611
793.997164,1,656.423607
911.875767,1,661.867944
858.753663,1,666.74566
753.81184,1,671.530454
843.195129,1,676.033008
792.804486,1,680.367327
756.465356,1,684.646364
769.953501,1,689.277298
779.778411,1,693.927749
814.741824,1,698.224191
960.611554,1,704.175022
796.828877,1,708.783877
869.713213,1,713.740501
1038.133737,1,720.499865
791.692891,1,725.453358
833.465174,1,730.177444
797.723453,1,734.439587
715.974634,1,738.999675
748.852462,1,743.443679
816.528952,1,748.155519
843.035599,1,753.333662
807.027478,1,758.135893
807.798833,1,762.956352
851.224174,1,767.815235
842.695118,1,772.903269
811.819412,1,777.112503
950.300231,1,782.912771
830.168296,1,787.648207
803.786136,1,792.294121
803.285836,1,796.587068
791.029477,1,801.258723
981.970045,1,806.666308
796.98813,1,811.567678
918.79486,1,816.574487
858.557403,1,821.735285
744.547745,1,825.672793
