#{"t_start": 1650291177.3939812, "env_id": null}
r,l,t
893.384651,1,7.214113
874.512844,1,13.079555
804.085731,1,18.341161
752.440459,1,22.95083
929.092307,1,29.550817
870.919422,1,35.095316
836.014275,1,40.324191
736.024271,1,45.019972
1155.629736,1,54.785391
853.471383,1,60.383794
822.058974,1,65.991071
772.228366,1,71.240371
781.178719,1,76.254
785.935702,1,81.330099
882.77954,1,87.497073
770.740265,1,92.671081
821.373435,1,97.994679
780.917798,1,103.14075
748.166797,1,108.139067
810.599585,1,113.803593
774.080375,1,119.22529
941.712341,1,125.242687
810.034821,1,130.446531
769.307101,1,135.706729
792.345065,1,140.764878
801.283429,1,145.818409
818.422426,1,151.294883
794.488971,1,156.68365
872.758739,1,162.785589
768.700963,1,167.749626
785.719664,1,173.478449
1076.543617,1,180.748431
746.38527,1,186.049478
998.467951,1,192.538435
786.077947,1,198.248766
794.437131,1,203.290452
815.191364,1,208.96113
807.697552,1,214.655764
757.10994,1,219.73957
864.55703,1,225.033973
825.795886,1,230.628959
735.409266,1,235.529113
841.113484,1,241.459219
743.94421,1,246.191258
760.828727,1,251.024464
854.7229,1,256.706074
916.62471,1,263.973527
837.123806,1,269.42313
784.687505,1,274.829444
838.767303,1,280.352885
757.80536,1,285.069796
874.016087,1,290.799137
869.755038,1,296.71564
751.882338,1,302.038173
819.288531,1,307.51739
805.261286,1,313.263961
785.010669,1,318.631299
744.642367,1,323.50541
789.486654,1,328.801154
756.515472,1,334.014516
970.345495,1,340.549157
834.585626,1,345.971173
963.587348,1,352.405408
784.630629,1,357.781674
840.649968,1,363.280018
740.679543,1,368.159157
830.416662,1,373.666377
792.994617,1,378.95029
874.907494,1,384.581513
786.45446,1,389.863239
866.155502,1,395.984631
826.007282,1,401.584115
870.815231,1,407.924381
746.26887,1,412.863404
880.697837,1,418.157914
767.032449,1,423.419541
803.338155,1,428.337681
879.502254,1,434.281988
850.362404,1,440.120718
813.608767,1,445.757422
845.933826,1,451.648896
782.30306,1,456.942093
845.911187,1,462.461465
801.816551,1,467.690763
787.555185,1,473.060631
1054.699899,1,481.17426
881.579921,1,487.144292
764.766917,1,492.606327
854.204871,1,498.525248
796.785863,1,503.753706
828.037678,1,509.481052
792.448164,1,514.585577
845.505494,1,520.186547
826.68697,1,525.458037
859.34046,1,531.207272
853.177723,1,537.050831
850.176166,1,542.668696
905.344557,1,548.765003
842.028738,1,554.531466
726.498033,1,559.063063
815.628829,1,564.885119
781.311551,1,569.62097
854.753749,1,575.347102
818.328738,1,580.616307
815.3197,1,586.67265
990.061879,1,593.925144
870.627113,1,600.150926
776.153751,1,605.501096
873.488911,1,611.533216
833.990074,1,616.985256
710.702936,1,621.77065
799.786572,1,626.956378
899.076901,1,633.252134
827.420548,1,638.692751
839.721486,1,644.088799
1019.758258,1,651.922746
852.388825,1,657.969736
922.273901,1,664.220015
821.654338,1,670.061826
776.071198,1,674.746856
828.556213,1,680.396476
828.682255,1,685.932574
796.793613,1,691.459428
710.958175,1,696.351578
757.132089,1,701.446613
794.829068,1,706.646997
842.456184,1,712.537515
806.196724,1,718.232067
997.887364,1,727.283704
783.907515,1,732.601493
856.681843,1,737.966428
894.094199,1,743.82639
849.637987,1,749.592764
749.228755,1,754.83241
850.653949,1,760.240253
826.019681,1,765.014522
767.005279,1,770.068017
750.215603,1,775.004386
757.575304,1,780.455068
826.461389,1,785.358183
984.365264,1,793.760859
797.231691,1,799.005444
855.951212,1,804.801577
934.409017,1,812.1968
783.207068,1,817.990916
825.117681,1,823.349538
816.450641,1,828.467396
726.971286,1,833.521837
740.196838,1,838.790859
879.710644,1,844.439727
837.128046,1,850.093586
795.584948,1,855.627999
807.095097,1,861.017738
865.263991,1,866.807143
835.147111,1,872.138754
848.392353,1,877.249196
897.01512,1,883.660768
808.862453,1,889.35649
794.975831,1,894.531835
813.757275,1,899.804912
