#{"t_start": 1650538395.3150663, "env_id": null}
r,l,t
816.240829,1,5.895631
765.186254,1,11.196002
836.316345,1,16.505099
761.596865,1,21.247768
801.478526,1,26.030415
746.643376,1,30.343103
715.404298,1,34.669926
755.799447,1,39.420639
769.534323,1,44.571142
762.332379,1,49.146706
867.66459,1,55.021584
872.21593,1,60.478703
812.895588,1,65.437582
787.431569,1,70.091471
806.976713,1,74.906507
841.674393,1,80.238284
795.085229,1,85.214969
797.362691,1,89.922066
872.957065,1,95.226977
811.717425,1,100.465244
802.812501,1,106.311631
829.723034,1,111.408947
770.783621,1,116.269069
944.626223,1,122.426861
797.887696,1,127.318272
829.560362,1,132.952959
742.365468,1,137.628601
915.400854,1,143.913468
840.766679,1,149.199753
877.33804,1,155.076943
796.372083,1,159.669604
875.009918,1,165.326806
807.207738,1,170.276417
804.905534,1,175.107347
764.700043,1,179.848789
784.906194,1,184.742078
827.850126,1,189.843663
815.741821,1,194.905816
924.801596,1,201.611064
773.253301,1,206.148184
802.601055,1,211.06506
910.887332,1,216.392021
822.249089,1,221.285633
842.696962,1,226.71508
859.300641,1,231.522396
761.367601,1,236.463118
767.876341,1,241.235378
838.452613,1,246.340401
777.000376,1,251.321054
906.660687,1,257.465469
828.677963,1,262.751895
768.895317,1,267.92213
864.025345,1,273.266926
773.383328,1,278.365104
789.656907,1,283.055504
827.043928,1,288.302777
759.168282,1,293.012683
1080.241042,1,302.218167
863.345829,1,307.647695
826.0047,1,313.037694
737.141106,1,317.590605
759.57571,1,321.999593
912.694993,1,327.489714
766.934933,1,332.166849
827.140121,1,337.404953
769.0136,1,341.968022
738.131268,1,346.475911
766.554287,1,351.327771
811.669834,1,356.376704
784.548229,1,361.384644
710.756924,1,365.752873
829.85687,1,371.029108
788.09976,1,376.122102
750.721643,1,381.012617
813.445261,1,386.892124
827.558769,1,392.385848
813.825447,1,397.928435
813.797663,1,402.852477
775.249344,1,408.103424
864.42569,1,413.863288
787.763102,1,418.953826
772.504776,1,423.873659
978.732794,1,431.202417
853.134508,1,436.597381
918.348654,1,442.973745
861.530147,1,448.04126
812.417491,1,452.970178
798.073372,1,458.301195
777.050788,1,463.388797
717.140904,1,467.741029
753.690724,1,472.383045
865.911359,1,477.80449
702.433645,1,482.084949
804.311039,1,487.194393
801.415434,1,492.270693
800.156893,1,496.836689
746.689683,1,502.131059
759.757251,1,506.803095
815.447583,1,512.142323
843.884314,1,517.544739
839.067632,1,523.063542
718.064106,1,527.296487
849.733362,1,532.701496
897.371025,1,537.85584
905.798901,1,544.212463
801.908351,1,548.688608
766.167564,1,553.662364
800.79226,1,558.289599
863.765705,1,564.720028
820.489698,1,569.645674
855.447086,1,575.194255
756.540702,1,580.19558
760.446104,1,585.194234
941.314027,1,592.498217
785.175219,1,597.653089
770.746451,1,602.489928
891.058786,1,608.446426
767.377792,1,613.117862
760.481857,1,618.226663
835.977908,1,623.391667
724.650708,1,627.699756
777.886066,1,632.436451
803.905632,1,637.320286
831.752624,1,642.727297
796.840047,1,647.797137
822.924431,1,653.077914
768.124515,1,657.946895
735.212323,1,662.535732
716.960367,1,666.804725
782.557457,1,671.495099
831.60324,1,676.711102
817.856439,1,682.026923
797.508809,1,686.977325
857.518329,1,692.720434
727.976668,1,697.09512
837.016006,1,702.247717
811.571015,1,706.947174
914.118903,1,712.455936
886.675068,1,717.691182
772.100581,1,722.543956
852.109224,1,728.074028
748.518002,1,733.093188
822.908973,1,738.035364
841.138511,1,743.530217
805.999685,1,748.407823
857.174456,1,753.356496
824.38734,1,758.578902
842.111254,1,763.799655
846.483395,1,768.707061
759.267038,1,773.212093
830.885703,1,778.269078
865.072844,1,783.825633
782.104221,1,788.528091
842.474807,1,793.990168
798.434955,1,798.587976
781.856639,1,803.844909
739.274364,1,808.545111
893.889101,1,814.00772
769.258911,1,818.718849
851.491123,1,824.372985
801.163888,1,829.275565
770.317487,1,834.09518
855.036795,1,839.280337
829.980195,1,844.179338
871.944483,1,849.852696
911.747036,1,855.525577
745.880395,1,860.563387
856.287781,1,865.615439
801.346429,1,870.874182
821.641265,1,876.232504
803.580011,1,881.388295
779.915541,1,886.656526
813.195918,1,891.529308
797.231972,1,896.287683
800.730248,1,901.551695
807.946512,1,906.56359
828.500086,1,911.940769
806.903169,1,916.913145
867.638537,1,922.113273
826.679833,1,927.282191
737.152597,1,931.773417
977.346482,1,938.722598
864.544382,1,944.191589
1001.299271,1,951.372392
739.60765,1,956.26911
803.866123,1,961.497706
863.607783,1,967.082053
858.213188,1,973.192666
842.857664,1,978.482775
786.888878,1,983.571609
825.148758,1,988.696496
863.371669,1,994.065567
735.199074,1,999.156231
806.146301,1,1004.208637
844.952538,1,1009.641214
822.723448,1,1014.374937
777.861684,1,1019.47303
870.992654,1,1024.924713
824.429478,1,1030.274527
787.490723,1,1034.638515
768.717844,1,1039.73609
849.705779,1,1044.779435
788.355106,1,1049.847118
762.174366,1,1054.500391
772.815686,1,1059.279281
784.080638,1,1064.135115
806.586096,1,1069.170777
759.453475,1,1073.394071
773.66407,1,1078.567085
892.589897,1,1084.428291
948.762355,1,1091.669236
763.258607,1,1096.748475
941.027113,1,1103.079929
763.329293,1,1107.998531
802.007067,1,1112.952862
869.580398,1,1118.053701
807.884022,1,1123.348666
883.377598,1,1128.783057
840.231597,1,1134.251985
874.514476,1,1139.649688
791.303545,1,1144.512958
784.873497,1,1149.633949
827.616749,1,1154.930712
826.046262,1,1160.355461
814.944001,1,1165.739125
974.249906,1,1173.0191
800.293649,1,1178.072931
841.53173,1,1183.317505
791.14247,1,1188.476417
820.636903,1,1193.989088
856.773543,1,1200.196395
726.009908,1,1204.859104
712.58986,1,1209.1839
762.349868,1,1214.026265
793.146464,1,1219.088208
791.989101,1,1224.224306
787.629995,1,1229.17098
739.541745,1,1233.679643
776.840222,1,1238.861273
776.649927,1,1243.736156
1146.853986,1,1256.52085
754.670173,1,1261.566602
853.138364,1,1266.9179
870.928804,1,1272.388635
856.330316,1,1277.562228
796.193228,1,1282.387929
834.108242,1,1287.386941
799.464103,1,1292.234681
790.208629,1,1296.952082
775.774922,1,1301.834088
779.784867,1,1306.615447
786.907803,1,1311.327491
860.088512,1,1317.007493
792.908025,1,1321.677904
869.708068,1,1326.992055
831.655718,1,1332.222434
815.703912,1,1337.07515
785.819983,1,1342.090015
803.131534,1,1346.915854
752.792691,1,1352.037972
780.220201,1,1356.913104
772.633219,1,1361.745658
752.867379,1,1366.376296
879.096559,1,1371.78257
770.126461,1,1376.664287
726.766754,1,1381.177463
857.545148,1,1386.574649
833.415203,1,1391.570935
995.556021,1,1398.711548
722.8025,1,1403.520748
736.769797,1,1407.964691
774.921055,1,1413.100523
869.272919,1,1418.224899
871.840193,1,1423.439819
881.901381,1,1429.397134
777.685191,1,1434.458431
839.234546,1,1439.883074
765.390696,1,1444.589521
810.831884,1,1449.542286
1038.436668,1,1457.517236
770.747809,1,1461.990942
802.625291,1,1467.078812
837.531452,1,1472.35943
818.334543,1,1477.362364
872.994148,1,1483.032464
794.209025,1,1488.058151
814.283753,1,1493.119783
841.938192,1,1498.363807
845.705848,1,1503.351612
793.41411,1,1508.121067
792.672123,1,1513.141486
753.359908,1,1518.009272
877.865639,1,1523.939121
896.225551,1,1530.217459
763.846061,1,1534.750932
815.142697,1,1539.768558
847.849771,1,1544.963089
839.126078,1,1549.870976
738.725607,1,1554.580382
832.580559,1,1559.692135
826.245673,1,1564.849122
794.933114,1,1569.388232
742.318411,1,1574.354077
829.050936,1,1579.584986
840.476951,1,1585.066807
715.228886,1,1589.339233
766.241402,1,1594.398635
775.616823,1,1599.13998
778.426101,1,1604.113234
767.340044,1,1608.992047
779.029568,1,1613.895595
792.977757,1,1618.93871
842.249177,1,1624.783242
787.12063,1,1629.400187
788.709599,1,1634.233431
791.744777,1,1638.903944
808.804697,1,1643.715168
853.648478,1,1648.311506
826.694652,1,1653.690835
838.70315,1,1658.934707
919.323382,1,1664.834435
754.498913,1,1669.64228
815.11184,1,1674.987959
843.582509,1,1680.233189
830.185021,1,1685.409528
798.462371,1,1690.205305
839.375045,1,1695.23601
805.430942,1,1700.150542
825.681947,1,1705.110673
791.812021,1,1710.052336
810.908515,1,1714.817682
840.614281,1,1719.994715
827.807416,1,1725.069571
759.077819,1,1729.72941
805.146598,1,1734.54039
781.469585,1,1739.186361
794.78737,1,1744.011811
800.596933,1,1749.344985
821.318703,1,1755.190042
791.630791,1,1760.150721
803.834319,1,1765.459547
774.882195,1,1770.286181
768.74061,1,1775.35905
811.299845,1,1780.619431
802.762978,1,1785.913308
874.944157,1,1791.357441
839.376909,1,1796.902007
823.4421,1,1802.019468
864.361485,1,1807.050782
976.782129,1,1814.409687
784.732646,1,1819.076101
795.268278,1,1824.005317
839.500456,1,1829.460291
737.998783,1,1834.670187
761.275142,1,1839.101185
799.370061,1,1844.577628
822.368365,1,1849.706745
862.611522,1,1855.351625
773.436304,1,1860.361803
749.417586,1,1865.066895
789.399771,1,1869.747311
850.456283,1,1875.337521
786.573954,1,1879.839554
820.63765,1,1885.055094
861.594692,1,1890.927423
820.418879,1,1895.696475
826.281152,1,1900.708586
821.535596,1,1905.933024
870.204782,1,1911.571798
875.316868,1,1916.813039
731.381932,1,1921.0236
782.515359,1,1925.859149
780.286881,1,1930.735197
800.666843,1,1935.377613
808.858165,1,1940.611869
794.36191,1,1945.643286
823.021384,1,1950.633596
795.813376,1,1955.308656
763.95375,1,1959.787281
786.669108,1,1964.447345
792.578799,1,1969.009801
810.948004,1,1974.178071
824.299144,1,1979.7057
835.895147,1,1984.993093
795.481693,1,1989.848684
870.385766,1,1995.328878
810.579344,1,2000.422224
764.899603,1,2005.145892
769.431555,1,2010.117883
791.606443,1,2014.481125
849.273541,1,2020.15822
773.290631,1,2024.724427
844.513921,1,2029.976222
867.799832,1,2035.764134
1098.186547,1,2044.994345
908.963913,1,2051.333216
811.763664,1,2056.633647
704.511754,1,2060.937255
853.294081,1,2066.659758
892.296382,1,2073.281348
799.682868,1,2078.210348
805.624958,1,2083.231862
782.771816,1,2088.282485
809.822349,1,2093.208812
890.090444,1,2098.819479
786.995537,1,2103.736795
827.208515,1,2109.17268
798.178302,1,2114.42293
807.920583,1,2119.589937
825.932977,1,2124.922643
830.24574,1,2130.225926
821.587695,1,2136.014633
828.826957,1,2141.442603
799.334501,1,2146.452307
855.328091,1,2152.053194
794.853064,1,2157.081645
772.817373,1,2162.160644
810.240329,1,2167.554666
736.186888,1,2172.38346
767.41446,1,2177.371617
798.271123,1,2182.319268
809.171308,1,2187.016017
818.614801,1,2192.035112
813.600244,1,2197.233733
867.347959,1,2202.611033
790.471314,1,2207.514792
900.558117,1,2213.521778
730.487122,1,2218.345863
808.720405,1,2223.127534
950.988381,1,2229.495183
872.648434,1,2234.974719
823.405882,1,2240.071197
813.043523,1,2245.583998
797.2395,1,2251.019437
814.996141,1,2255.875755
872.196789,1,2261.576777
777.928209,1,2266.597154
751.564092,1,2271.397203
866.250687,1,2277.032365
864.187325,1,2282.343274
829.308445,1,2287.100494
816.059182,1,2292.245174
746.614483,1,2296.911745
862.856661,1,2302.052933
805.55237,1,2306.734741
772.486383,1,2311.071196
933.440219,1,2317.012749
736.458025,1,2321.426413
846.014316,1,2326.635117
856.622153,1,2331.822542
782.215557,1,2336.586735
829.449335,1,2341.634084
812.033977,1,2346.727038
761.278438,1,2351.189556
831.190616,1,2356.549537
821.275557,1,2361.958008
794.444054,1,2366.965985
794.681718,1,2371.843365
805.688047,1,2376.35804
887.935685,1,2382.301248
901.891379,1,2388.41735
765.951256,1,2393.320756
793.521623,1,2398.564138
850.845705,1,2404.08359
738.969257,1,2408.599638
882.008992,1,2414.443228
766.392072,1,2418.794455
885.860428,1,2424.723537
848.520305,1,2429.827555
754.688165,1,2434.194571
817.057923,1,2439.456614
827.528176,1,2445.230644
788.987791,1,2450.278858
770.519928,1,2455.757406
794.005015,1,2460.718309
864.5935,1,2465.685424
831.754434,1,2471.036164
819.035047,1,2476.022287
862.137602,1,2481.577207
1290.799858,1,2493.855245
816.532765,1,2499.198858
794.9978,1,2503.881052
785.367738,1,2508.93484
781.451214,1,2513.736318
835.847409,1,2519.207347
921.462992,1,2525.554044
759.220756,1,2529.929558
839.078481,1,2535.497612
852.261173,1,2541.219247
760.736795,1,2546.207183
804.570945,1,2551.152426
767.337061,1,2555.799837
770.72957,1,2560.81839
875.088315,1,2566.352358
839.962764,1,2572.048886
737.099035,1,2577.112994
817.863944,1,2582.318568
936.695743,1,2588.546626
906.197341,1,2594.351214
872.894164,1,2600.048153
886.968503,1,2605.538923
786.794625,1,2610.395608
773.311269,1,2615.355224
842.304933,1,2620.94224
837.916673,1,2626.051053
843.496339,1,2631.245984
798.675053,1,2636.035084
771.908476,1,2640.804695
711.223677,1,2645.126884
828.813507,1,2650.093402
897.530217,1,2655.723207
761.986151,1,2660.917066
793.081757,1,2665.785678
737.055413,1,2670.201983
837.340874,1,2675.697883
855.633951,1,2681.249748
788.104847,1,2686.745713
817.972401,1,2692.036069
766.071645,1,2697.31794
714.284389,1,2701.652831
812.162196,1,2706.510929
787.792615,1,2711.931862
761.443922,1,2716.875822
790.428595,1,2722.090556
796.103088,1,2726.8555
912.494484,1,2732.529965
906.188632,1,2738.163191
791.562047,1,2743.664691
858.422791,1,2749.169389
855.309889,1,2755.563143
805.582809,1,2760.453424
837.036305,1,2766.153087
812.110834,1,2770.733901
826.00605,1,2776.231114
831.244342,1,2781.445079
910.314124,1,2787.326469
806.563018,1,2792.13829
862.099396,1,2798.392523
802.855692,1,2803.077364
986.515259,1,2810.605906
839.024167,1,2815.912902
915.331412,1,2821.546721
887.902421,1,2826.940387
772.633339,1,2831.885756
801.120042,1,2836.7771
815.098197,1,2841.667323
794.443399,1,2846.486058
745.005525,1,2850.944257
835.628249,1,2856.434118
846.576087,1,2861.880844
835.237183,1,2866.928765
799.207216,1,2871.776906
809.942919,1,2876.998373
716.792925,1,2881.146216
844.660406,1,2886.938696
944.641039,1,2893.166283
752.630548,1,2898.548485
891.325569,1,2903.971875
900.183145,1,2909.699761
764.070348,1,2914.524683
839.37494,1,2920.215852
910.084295,1,2925.888535
1032.061059,1,2934.485447
786.092332,1,2939.889516
825.431608,1,2945.294298
794.539463,1,2950.477968
729.791174,1,2955.004355
855.727019,1,2960.475494
818.839945,1,2965.978467
772.326179,1,2970.879117
835.939758,1,2976.363324
1234.20606,1,2987.774303
821.384917,1,2993.19752
847.002036,1,2998.412481
817.208244,1,3003.874626
870.723022,1,3009.605862
779.99679,1,3014.633175
884.691664,1,3020.130187
808.357323,1,3025.477237
849.14184,1,3030.799617
834.362637,1,3036.173888
836.863529,1,3041.024442
818.581321,1,3046.520343
809.335061,1,3051.248002
807.595341,1,3056.370351
796.656745,1,3061.062359
881.8333,1,3068.059992
832.169351,1,3073.509938
927.988276,1,3080.008402
795.192374,1,3085.095639
823.224058,1,3090.447081
850.729759,1,3095.49782
835.832887,1,3100.753982
820.369686,1,3106.059781
834.292475,1,3111.562062
785.506917,1,3116.488509
784.542744,1,3121.576743
904.216774,1,3127.604924
861.809038,1,3133.124186
1102.013852,1,3142.246811
1035.34769,1,3150.249041
832.865397,1,3155.664434
773.297537,1,3160.339535
813.280444,1,3165.358979
979.145684,1,3173.21205
979.464331,1,3180.722627
828.462268,1,3186.098293
888.756013,1,3191.987638
842.609871,1,3197.627608
819.532233,1,3203.454383
813.263981,1,3208.821142
855.12782,1,3214.884341
1087.043238,1,3224.3665
1077.144763,1,3233.337648
789.071633,1,3238.303159
771.525879,1,3243.44219
742.164813,1,3247.766914
741.209173,1,3253.021645
821.562029,1,3258.13402
865.410796,1,3263.839605
921.662095,1,3269.63765
864.284685,1,3275.917804
810.133938,1,3281.278527
751.406024,1,3286.039451
912.304487,1,3292.217371
802.007076,1,3297.348797
829.024105,1,3302.177244
959.626525,1,3310.746304
815.984095,1,3315.667827
842.986694,1,3320.857533
893.873085,1,3326.651125
953.008344,1,3333.699518
851.370859,1,3338.915614
922.517572,1,3345.661326
782.548895,1,3350.526181
785.961289,1,3355.985342
1020.182316,1,3362.997838
803.430832,1,3368.372929
1108.659573,1,3376.790805
812.501545,1,3382.316975
836.872859,1,3387.49034
743.449195,1,3392.216984
727.821687,1,3396.423263
1053.476814,1,3406.990489
792.721877,1,3412.363849
1048.256943,1,3421.269191
815.574919,1,3426.853374
787.291419,1,3432.371368
792.135891,1,3437.699505
740.188143,1,3442.478199
722.132237,1,3446.715185
863.333867,1,3452.229605
869.49227,1,3457.951701
823.593783,1,3463.395422
843.213515,1,3468.919334
761.817543,1,3474.167903
809.210467,1,3479.449242
771.378341,1,3484.25755
761.573719,1,3488.927851
1107.968189,1,3499.253904
788.2576,1,3504.539296
777.874145,1,3509.190857
835.323646,1,3514.863745
993.928581,1,3523.192297
1195.270854,1,3533.737608
940.056612,1,3540.010512
883.398984,1,3545.298316
757.426011,1,3550.243627
825.545514,1,3555.109267
946.473545,1,3562.881765
799.826467,1,3567.990372
962.070202,1,3575.530324
821.656573,1,3580.941556
857.927842,1,3586.726214
847.878469,1,3592.238926
780.397194,1,3597.561687
838.761416,1,3602.893835
1059.315077,1,3611.533818
820.390677,1,3616.812546
899.363642,1,3622.736695
854.516782,1,3628.283045
812.122037,1,3633.659655
931.134371,1,3644.449679
779.750647,1,3649.996018
834.072649,1,3655.299674
758.009304,1,3659.778184
