#{"t_start": 1677508451.764668, "env_id": null}
r,l,t
2962.342089,1,10.116862
40000,1,13.958291
40000,1,18.643396
40000,1,23.098206
40000,1,27.016904
40000,1,30.699936
40000,1,34.530991
40000,1,38.522433
40000,1,42.876959
40000,1,47.18969
40000,1,54.134651
40000,1,58.472273
40000,1,63.064396
40000,1,66.973475
40000,1,70.530151
40000,1,74.60621
40000,1,78.651271
40000,1,82.871379
40000,1,87.089272
40000,1,96.860605
40000,1,101.236289
40000,1,105.350048
40000,1,109.320664
40000,1,113.120396
40000,1,117.028539
40000,1,121.787354
40000,1,126.219674
2968.841978,1,136.499585
40000,1,141.286133
40000,1,149.704675
40000,1,153.935131
40000,1,158.000844
40000,1,161.873865
40000,1,166.254716
2962.850439,1,176.136074
40000,1,179.905987
40000,1,189.517644
40000,1,198.66236
40000,1,203.06737
40000,1,207.176568
40000,1,211.863114
40000,1,216.415864
40000,1,220.290092
40000,1,229.440526
40000,1,233.626313
40000,1,237.706345
40000,1,241.959405
40000,1,246.102701
40000,1,250.429496
40000,1,255.124773
40000,1,259.333862
40000,1,264.029377
40000,1,268.228907
40000,1,272.062988
40000,1,275.994952
40000,1,279.947753
40000,1,283.988626
40000,1,292.335682
40000,1,296.68432
40000,1,301.001345
40000,1,305.486705
40000,1,309.356238
40000,1,313.260629
40000,1,317.716582
40000,1,322.130885
40000,1,326.633983
40000,1,331.762782
40000,1,341.142839
40000,1,348.904658
40000,1,352.85336
40000,1,357.135486
40000,1,362.129542
40000,1,365.943422
40000,1,369.755502
40000,1,373.784445
40000,1,377.87142
40000,1,382.035545
40000,1,386.702787
40000,1,390.891748
40000,1,394.883518
40000,1,399.306345
40000,1,403.412124
40000,1,412.211925
2975.64317,1,422.134249
40000,1,426.98113
40000,1,430.899187
40000,1,440.325
40000,1,445.065381
40000,1,449.164349
40000,1,453.702818
40000,1,458.194385
40000,1,462.415773
40000,1,466.388473
40000,1,469.547354
40000,1,472.72321
40000,1,475.493816
40000,1,478.305752
40000,1,481.064104
40000,1,484.4155
40000,1,487.60922
